X(mm)  p(Pa)  T(K)  X_H2_  X_H_  X_O2_  X_OH_  X_H2O_  X_CH_  X_CH4_  X_CO_  X_CO2_  X_CH2O_  X_C2H6_  X_N2_  X_C3H8_
0.000000e+00  1.013250e+05  7.000000e+02  7.602072e-09  1.922651e-21  1.900452e-01  5.349214e-20  3.575190e-12  1.409985e-42  9.502262e-02  1.027829e-13  1.807880e-15  3.517474e-15  5.664272e-16  7.149321e-01  1.994471e-19
2.455000e+01  1.013250e+05  7.000000e+02  1.021288e-06  1.559879e-19  1.900451e-01  1.734626e-17  1.421929e-09  4.184838e-40  9.502252e-02  5.096057e-11  1.117648e-12  2.088494e-12  3.732746e-13  7.149314e-01  1.689127e-16
4.811800e+01  1.013250e+05  7.000014e+02  1.291516e-04  4.413541e-15  1.900209e-01  7.157616e-15  5.320638e-07  8.631427e-36  9.500950e-02  2.377265e-08  6.500547e-10  1.084701e-09  2.314062e-10  7.148399e-01  1.345804e-13
4.860900e+01  1.013250e+05  7.000080e+02  3.062108e-04  8.960307e-14  1.899871e-01  9.876075e-14  2.691652e-06  1.129360e-32  9.499093e-02  1.440730e-07  4.751682e-09  7.309317e-09  1.766068e-09  7.147129e-01  1.297847e-12
4.910000e+01  1.013250e+05  7.000760e+02  9.552109e-04  4.140912e-12  1.898605e-01  6.241218e-12  2.197784e-05  2.431598e-28  9.491814e-02  1.454255e-06  5.945395e-08  8.706647e-08  2.345592e-08  7.142424e-01  2.212742e-11
4.925000e+01  1.013250e+05  7.002228e+02  1.498349e-03  5.309159e-11  1.897487e-01  5.681996e-11  5.836590e-05  8.113693e-26  9.484842e-02  4.438566e-06  2.107310e-07  2.972621e-07  8.648291e-08  7.138406e-01  9.871110e-11
4.940000e+01  1.013250e+05  7.007856e+02  2.483137e-03  7.012761e-10  1.895272e-01  6.895774e-10  1.828266e-04  4.401250e-23  9.469544e-02  1.643326e-05  9.316498e-07  1.255721e-06  4.006653e-07  7.130903e-01  5.704753e-10
4.947500e+01  1.013250e+05  7.016618e+02  3.275350e-03  4.362280e-09  1.893222e-01  3.238508e-09  3.578813e-04  2.740876e-21  9.453699e-02  3.600047e-05  2.309285e-06  2.981936e-06  1.022096e-06  7.124608e-01  1.718582e-09
4.955000e+01  1.013250e+05  7.037655e+02  4.387785e-03  2.394850e-08  1.889784e-01  1.657440e-08  7.438663e-04  1.775543e-19  9.424583e-02  8.501515e-05  6.272521e-06  7.658325e-06  2.862992e-06  7.115316e-01  5.820033e-09
4.962500e+01  1.013250e+05  7.087809e+02  5.945788e-03  1.320081e-07  1.883624e-01  8.648845e-08  1.591554e-03  1.238211e-17  9.368261e-02  2.074009e-04  1.763405e-05  1.993962e-05  8.248544e-06  7.101384e-01  2.041724e-08
4.966250e+01  1.013250e+05  7.138506e+02  6.955966e-03  3.697294e-07  1.878422e-01  2.165430e-07  2.391784e-03  1.464940e-16  9.318632e-02  3.368384e-04  3.121537e-05  3.291588e-05  1.469894e-05  7.091662e-01  4.163389e-08
4.970000e+01  1.013250e+05  7.223121e+02  8.161484e-03  9.703156e-07  1.870570e-01  5.404656e-07  3.658550e-03  1.651628e-15  9.242563e-02  5.614504e-04  5.725346e-05  5.526936e-05  2.707028e-05  7.079277e-01  8.953669e-08
4.971875e+01  1.013250e+05  7.286235e+02  8.849819e-03  1.628704e-06  1.865054e-01  8.700727e-07  4.564364e-03  5.992343e-15  9.189011e-02  7.350034e-04  7.913077e-05  7.203284e-05  3.736981e-05  7.071783e-01  1.358007e-07
4.973750e+01  1.013250e+05  7.369653e+02  9.601367e-03  2.697239e-06  1.857994e-01  1.392470e-06  5.725188e-03  2.137576e-14  9.120778e-02  9.708214e-04  1.108071e-04  9.430761e-05  5.218127e-05  7.063234e-01  2.104243e-07
4.974688e+01  1.013250e+05  7.421251e+02  1.000245e-02  3.485563e-06  1.853711e-01  1.762770e-06  6.426224e-03  4.078315e-14  9.079645e-02  1.120109e-03  1.319097e-04  1.080584e-04  6.195820e-05  7.058509e-01  2.646591e-07
4.975625e+01  1.013250e+05  7.480888e+02  1.042108e-02  4.494107e-06  1.848811e-01  2.226681e-06  7.222955e-03  7.750313e-14  9.032886e-02  1.295600e-03  1.576418e-04  1.239456e-04  7.380400e-05  7.053456e-01  3.351258e-07
4.976563e+01  1.013250e+05  7.549669e+02  1.085760e-02  5.784570e-06  1.843205e-01  2.804195e-06  8.126806e-03  1.467194e-13  8.979773e-02  1.501557e-03  1.889607e-04  1.422271e-04  8.810903e-05  7.048055e-01  4.264182e-07
4.977500e+01  1.013250e+05  7.628810e+02  1.131228e-02  7.434480e-06  1.836793e-01  3.518279e-06  9.150102e-03  2.764637e-13  8.919509e-02  1.742827e-03  2.269991e-04  1.631709e-04  1.053186e-04  7.042292e-01  5.442950e-07
4.978438e+01  1.013250e+05  7.719631e+02  1.178529e-02  9.540858e-06  1.829464e-01  4.395105e-06  1.030601e-02  5.181086e-13  8.851219e-02  2.024880e-03  2.730898e-04  1.870494e-04  1.259336e-04  7.036150e-01  6.959073e-07
4.979375e+01  1.013250e+05  7.823557e+02  1.227671e-02  1.222451e-05  1.821093e-01  5.464460e-06  1.160843e-02  9.650525e-13  8.773960e-02  2.353847e-03  3.287909e-04  2.141323e-04  1.505072e-04  7.029618e-01  8.900373e-07
4.980313e+01  1.013250e+05  7.942102e+02  1.278651e-02  1.563503e-05  1.811545e-01  6.760542e-06  1.307189e-02  1.785913e-12  8.686714e-02  2.736549e-03  3.959106e-04  2.446772e-04  1.796371e-04  7.022686e-01  1.137329e-06
4.981250e+01  1.013250e+05  8.076853e+02  1.331449e-02  1.995653e-05  1.800673e-01  8.323527e-06  1.471134e-02  3.283555e-12  8.588400e-02  3.180497e-03  4.765313e-04  2.789184e-04  2.139502e-04  7.015347e-01  1.450476e-06
4.982188e+01  1.013250e+05  8.229452e+02  1.386033e-02  2.541443e-05  1.788317e-01  1.020240e-05  1.654194e-02  6.000805e-12  8.477879e-02  3.693894e-03  5.730312e-04  3.170535e-04  2.540785e-04  7.007604e-01  1.844328e-06
4.983125e+01  1.013250e+05  8.401563e+02  1.442355e-02  3.228340e-05  1.774307e-01  1.245982e-05  1.857878e-02  1.091236e-11  8.353962e-02  4.285589e-03  6.881025e-04  3.592284e-04  3.006211e-04  6.999459e-01  2.335827e-06
4.984063e+01  1.013250e+05  8.594837e+02  1.500346e-02  4.089718e-05  1.758464e-01  1.517978e-05  2.083659e-02  1.977986e-11  8.215430e-02  4.965025e-03  8.247638e-04  4.055206e-04  3.540921e-04  6.990926e-01  2.943681e-06
4.985000e+01  1.013250e+05  8.810876e+02  1.559922e-02  5.166103e-05  1.740602e-01  1.847921e-05  2.332940e-02  3.582375e-11  8.061046e-02  5.742135e-03  9.863664e-04  4.559221e-04  4.148469e-04  6.982023e-01  3.687619e-06
4.985938e+01  1.013250e+05  9.051176e+02  1.620976e-02  6.506807e-05  1.720529e-01  2.252434e-05  2.607017e-02  6.502289e-11  7.889577e-02  6.627219e-03  1.176592e-03  5.103228e-04  4.829867e-04  6.972776e-01  4.587030e-06
4.986875e+01  1.013250e+05  9.317078e+02  1.683379e-02  8.172110e-05  1.698051e-01  2.755286e-05  2.907042e-02  1.186764e-10  7.699827e-02  7.630762e-03  1.399443e-03  5.684947e-04  5.582376e-04  6.963219e-01  5.658714e-06
4.987812e+01  1.013250e+05  9.609708e+02  1.746976e-02  1.023617e-04  1.672979e-01  3.390235e-05  3.233983e-02  2.185208e-10  7.490664e-02  8.763220e-03  1.659214e-03  6.300781e-04  6.398055e-04  6.953393e-01  6.913451e-06
4.988750e+01  1.013250e+05  9.929906e+02  1.811583e-02  1.279081e-04  1.645127e-01  4.204551e-05  3.588581e-02  4.070196e-10  7.261070e-02  1.003474e-02  1.960460e-03  6.945690e-04  7.262155e-04  6.943344e-01  8.351093e-06
4.989687e+01  1.013250e+05  1.027816e+03  1.876981e-02  1.595024e-04  1.614326e-01  5.263175e-05  3.971301e-02  7.680396e-10  7.010188e-02  1.145480e-02  2.307944e-03  7.613051e-04  8.151519e-04  6.933126e-01  9.954068e-06
4.990625e+01  1.013250e+05  1.065451e+03  1.942908e-02  1.985676e-04  1.580425e-01  6.653446e-05  4.382285e-02  1.468095e-09  6.737397e-02  1.303184e-02  2.706563e-03  8.294478e-04  9.033313e-04  6.922798e-01  1.167961e-05
4.991562e+01  1.013250e+05  1.105848e+03  2.009047e-02  2.468700e-04  1.543305e-01  8.490206e-05  4.821293e-02  2.837235e-09  6.442388e-02  1.477268e-02  3.161256e-03  8.979572e-04  9.864570e-04  6.912423e-01  1.345192e-05
4.992500e+01  1.013250e+05  1.148902e+03  2.075014e-02  3.065836e-04  1.502885e-01  1.092094e-04  5.287636e-02  5.522891e-09  6.125263e-02  1.668194e-02  3.676883e-03  9.655598e-04  1.059317e-03  6.902068e-01  1.515683e-05
4.993437e+01  1.013250e+05  1.194449e+03  2.140341e-02  3.803452e-04  1.459137e-01  1.413036e-04  5.780108e-02  1.075856e-08  5.786647e-02  1.876127e-02  4.258084e-03  1.030717e-03  1.116089e-03  6.891802e-01  1.664299e-05
4.993906e+01  1.013250e+05  1.218082e+03  2.172552e-02  4.237234e-04  1.436013e-01  1.611448e-04  6.035595e-02  1.507016e-08  5.609670e-02  1.986458e-02  4.575112e-03  1.061693e-03  1.136188e-03  6.886730e-01  1.723709e-05
4.994375e+01  1.013250e+05  1.242261e+03  2.204372e-02  4.718630e-04  1.412051e-01  1.838921e-04  6.297029e-02  2.105904e-08  5.427719e-02  2.101058e-02  4.910819e-03  1.091303e-03  1.149856e-03  6.881713e-01  1.770361e-05
4.994844e+01  1.013250e+05  1.266943e+03  2.235710e-02  5.252345e-04  1.387267e-01  2.099205e-04  6.564068e-02  2.936051e-08  5.241080e-02  2.219823e-02  5.265685e-03  1.119267e-03  1.156451e-03  6.876762e-01  1.801984e-05
4.995312e+01  1.013250e+05  1.292083e+03  2.266461e-02  5.843334e-04  1.361684e-01  2.396383e-04  6.836322e-02  4.081312e-08  5.050092e-02  2.342613e-02  5.640137e-03  1.145292e-03  1.155440e-03  6.871887e-01  1.816574e-05
4.995781e+01  1.013250e+05  1.317631e+03  2.296516e-02  6.496765e-04  1.335331e-01  2.734882e-04  7.113352e-02  5.652147e-08  4.855155e-02  2.469245e-02  6.034541e-03  1.169071e-03  1.146429e-03  6.867101e-01  1.812542e-05
4.996250e+01  1.013250e+05  1.343533e+03  2.325751e-02  7.217950e-04  1.308245e-01  3.119474e-04  7.394668e-02  7.792353e-08  4.656728e-02  2.599489e-02  6.449197e-03  1.190296e-03  1.129199e-03  6.862413e-01  1.788867e-05
4.996719e+01  1.013250e+05  1.369730e+03  2.354037e-02  8.012278e-04  1.280466e-01  3.555275e-04  7.679729e-02  1.068650e-07  4.455330e-02  2.733074e-02  6.884326e-03  1.208657e-03  1.103722e-03  6.857837e-01  1.745220e-05
4.997187e+01  1.013250e+05  1.396159e+03  2.381231e-02  8.885120e-04  1.252045e-01  4.047741e-04  7.967948e-02  1.456783e-07  4.251541e-02  2.869673e-02  7.340072e-03  1.223859e-03  1.070190e-03  6.853383e-01  1.682057e-05
4.997656e+01  1.013250e+05  1.422757e+03  2.407185e-02  9.841724e-04  1.223038e-01  4.602654e-04  8.258684e-02  1.972596e-07  4.045998e-02  3.008913e-02  7.816491e-03  1.235622e-03  1.029013e-03  6.849063e-01  1.600651e-05
4.998125e+01  1.013250e+05  1.449453e+03  2.431739e-02  1.088710e-03  1.193507e-01  5.226103e-04  8.551254e-02  2.651365e-07  3.839391e-02  3.150366e-02  8.313551e-03  1.243694e-03  9.808237e-04  6.844891e-01  1.503070e-05
4.998594e+01  1.013250e+05  1.476177e+03  2.454730e-02  1.202587e-03  1.163521e-01  5.924453e-04  8.844933e-02  3.535133e-07  3.632460e-02  3.293552e-02  8.831128e-03  1.247863e-03  9.264583e-04  6.840876e-01  1.392086e-05
4.999063e+01  1.013250e+05  1.502855e+03  2.475985e-02  1.326217e-03  1.133155e-01  6.704309e-04  9.138958e-02  4.672791e-07  3.425986e-02  3.437941e-02  9.369005e-03  1.247959e-03  8.669342e-04  6.837032e-01  1.271019e-05
4.999531e+01  1.013250e+05  1.529412e+03  2.495333e-02  1.459945e-03  1.102488e-01  7.572452e-04  9.432536e-02  6.119612e-07  3.220784e-02  3.582954e-02  9.926874e-03  1.243862e-03  8.034114e-04  6.833369e-01  1.143538e-05
5.000000e+01  1.013250e+05  1.555771e+03  2.512599e-02  1.604039e-03  1.071606e-01  8.535772e-04  9.724849e-02  7.936037e-07  3.017691e-02  3.727965e-02  1.050434e-02  1.235511e-03  7.371476e-04  6.829896e-01  1.013433e-05
5.000469e+01  1.013250e+05  1.581855e+03  2.527613e-02  1.758671e-03  1.040595e-01  9.601171e-04  1.001507e-01  1.018554e-06  2.817554e-02  3.872307e-02  1.110091e-02  1.222902e-03  6.694470e-04  6.826625e-01  8.843798e-06
5.000937e+01  1.013250e+05  1.607586e+03  2.540211e-02  1.923908e-03  1.009547e-01  1.077545e-03  1.030234e-01  1.293143e-06  2.621218e-02  4.015280e-02  1.171604e-02  1.206088e-03  6.016058e-04  6.823563e-01  7.597215e-06
5.001406e+01  1.013250e+05  1.632890e+03  2.550237e-02  2.099701e-03  9.785543e-02  1.206516e-03  1.058585e-01  1.623250e-06  2.429510e-02  4.156155e-02  1.234907e-02  1.185180e-03  5.348601e-04  6.820717e-01  6.422956e-06
5.001875e+01  1.013250e+05  1.657690e+03  2.557553e-02  2.285874e-03  9.477086e-02  1.347646e-03  1.086476e-01  2.013770e-06  2.243225e-02  4.294184e-02  1.299932e-02  1.160339e-03  4.703371e-04  6.818093e-01  5.343101e-06
