T(K) p(Pa) phi Tf(K) SL(m/s) Xf(m) maxXCH mpXCH intXCH maxSM mpSM intSM maxCM mpCM intCM
300 303975 5.500000e-01 1.744453e+03 1.947247e-01 1.556700e-04 9.733106e-10 8.614232e-10 7.391425e-14 2.175487e+11 2.053604e+11 1.632535e+07 6.622665e+10 6.251613e+10 4.969780e+06 
300 303975 6.000000e-01 1.841110e+03 2.578519e-01 1.397800e-04 2.367085e-09 2.083815e-09 1.599906e-13 4.892707e+11 4.629446e+11 3.265233e+07 1.489577e+11 1.409424e+11 9.940914e+06 
300 303975 6.500000e-01 1.926233e+03 3.152934e-01 1.207200e-04 4.717649e-09 4.460532e-09 2.893894e-13 9.146438e+11 8.478023e+11 5.622421e+07 2.784803e+11 2.581280e+11 1.711842e+07 
300 303975 7.000000e-01 2.015360e+03 3.840731e-01 1.111900e-04 9.107678e-09 8.535713e-09 5.145605e-13 1.651349e+12 1.520335e+12 9.350759e+07 5.028182e+11 4.629237e+11 2.847193e+07 
300 303975 7.500000e-01 2.103753e+03 4.599126e-01 1.016600e-04 1.686062e-08 1.624656e-08 8.828279e-13 2.852981e+12 2.702888e+12 1.501324e+08 8.687602e+11 8.230520e+11 4.571653e+07 
300 303975 8.000000e-01 2.175057e+03 5.268120e-01 1.032500e-04 2.719398e-08 2.453619e-08 1.361645e-12 4.363056e+12 4.279142e+12 2.151239e+08 1.328659e+12 1.303103e+12 6.551030e+07 
300 303975 8.500000e-01 2.242947e+03 5.963020e-01 9.212000e-05 4.290866e-08 4.143611e-08 2.030114e-12 6.517752e+12 6.118830e+12 3.094718e+08 1.984914e+12 1.863418e+12 9.424598e+07 
300 303975 9.000000e-01 2.300499e+03 6.641210e-01 9.212000e-05 6.453029e-08 5.985875e-08 2.958128e-12 9.329348e+12 9.000126e+12 4.254723e+08 2.841279e+12 2.741005e+12 1.295782e+08 
300 303975 9.500000e-01 2.348733e+03 7.309066e-01 7.942000e-05 9.443519e-08 9.373783e-08 4.097492e-12 1.300450e+13 1.281190e+13 5.693899e+08 3.960715e+12 3.902047e+12 1.734155e+08 
300 303975 1.000000e+00 2.383677e+03 7.945007e-01 7.942000e-05 1.320162e-07 1.301222e-07 5.612936e-12 1.738317e+13 1.699638e+13 7.460825e+08 5.294486e+12 5.176669e+12 2.272375e+08 
300 303975 1.050000e+00 2.405695e+03 8.534149e-01 7.784000e-05 1.811644e-07 1.765251e-07 7.554529e-12 2.286555e+13 2.206593e+13 9.625187e+08 6.964512e+12 6.720940e+12 2.931679e+08 
300 303975 1.100000e+00 2.413373e+03 9.099440e-01 8.419000e-05 2.425162e-07 2.255512e-07 1.010969e-11 2.944359e+13 2.830205e+13 1.219234e+09 8.968354e+12 8.620621e+12 3.713703e+08 
300 303975 1.150000e+00 2.408423e+03 9.614527e-01 8.260000e-05 3.184703e-07 2.968385e-07 1.310808e-11 3.716838e+13 3.626398e+13 1.524931e+09 1.132159e+13 1.104608e+13 4.644963e+08 
300 303975 1.200000e+00 2.395397e+03 1.011155e+00 8.101000e-05 4.060892e-07 3.813802e-07 1.658218e-11 4.575144e+13 4.245627e+13 1.884143e+09 1.393636e+13 1.293256e+13 5.739270e+08 
300 303975 1.250000e+00 2.374794e+03 1.052335e+00 7.942000e-05 5.132268e-07 4.883960e-07 2.084850e-11 5.591352e+13 5.263220e+13 2.291180e+09 1.703224e+13 1.603262e+13 6.979305e+08 
300 303975 1.300000e+00 2.353961e+03 1.087517e+00 8.418000e-05 6.300837e-07 5.655440e-07 2.582061e-11 6.662686e+13 6.611782e+13 2.679845e+09 2.029611e+13 2.014102e+13 8.163410e+08 
300 303975 1.350000e+00 2.328010e+03 1.117638e+00 8.259000e-05 7.725808e-07 7.090071e-07 3.173236e-11 7.917376e+13 7.657832e+13 3.242763e+09 2.411869e+13 2.332798e+13 9.878388e+08 
300 303975 1.400000e+00 2.303890e+03 1.145126e+00 8.101000e-05 9.321115e-07 8.716174e-07 3.853044e-11 9.274533e+13 8.574734e+13 3.865267e+09 2.825353e+13 2.612160e+13 1.177494e+09 
300 303975 1.450000e+00 2.279432e+03 1.164152e+00 7.942000e-05 1.104298e-06 1.052439e-06 4.601356e-11 1.068782e+14 1.009275e+14 4.495501e+09 3.255948e+13 3.074656e+13 1.369509e+09 
300 303975 1.500000e+00 2.253615e+03 1.177312e+00 7.783000e-05 1.298816e-06 1.257976e-06 5.460533e-11 1.222257e+14 1.176185e+14 5.198550e+09 3.723560e+13 3.583192e+13 1.583713e+09 
300 303975 1.550000e+00 2.228439e+03 1.183804e+00 8.895000e-05 1.504783e-06 1.305349e-06 6.596593e-11 1.380701e+14 1.350556e+14 5.948810e+09 4.206320e+13 4.114477e+13 1.812306e+09 
300 303975 1.600000e+00 2.202788e+03 1.183105e+00 8.736000e-05 1.716576e-06 1.547143e-06 7.685995e-11 1.537712e+14 1.368447e+14 6.935795e+09 4.684727e+13 4.169037e+13 2.113023e+09 
300 303975 1.650000e+00 2.177876e+03 1.176137e+00 8.736000e-05 1.938059e-06 1.835867e-06 8.895466e-11 1.694156e+14 1.566771e+14 7.828889e+09 5.161421e+13 4.773314e+13 2.385144e+09 
300 303975 1.700000e+00 2.155460e+03 1.162358e+00 9.848000e-05 2.142981e-06 1.832330e-06 1.032484e-10 1.832421e+14 1.546812e+14 8.884121e+09 5.582732e+13 4.712561e+13 2.706666e+09 
300 303975 1.750000e+00 2.132522e+03 1.141578e+00 9.689000e-05 2.337707e-06 2.103391e-06 1.161699e-10 1.957252e+14 1.740427e+14 9.795831e+09 5.963124e+13 5.302511e+13 2.984470e+09 
300 303975 1.800000e+00 2.109966e+03 1.113887e+00 1.080200e-04 2.507012e-06 2.056878e-06 1.315932e-10 2.057521e+14 1.658539e+14 1.085193e+10 6.268691e+13 5.053082e+13 3.306271e+09 



300 607950 5.000000e-01 1.649589e+03 9.048729e-02 1.000000e-04 1.838121e-10 1.679453e-10 9.430771e-15 4.129505e+10 3.745902e+10 2.118022e+06 1.258122e+10 1.141252e+10 6.452898e+05 
300 607950 5.500000e-01 1.742223e+03 1.318472e-01 8.140000e-05 5.913686e-10 5.607592e-10 2.544728e-14 1.222852e+11 1.155680e+11 5.277207e+06 3.725779e+10 3.521120e+10 1.607855e+06 
300 607950 6.000000e-01 1.837304e+03 1.813353e-01 7.325000e-05 1.602190e-09 1.509265e-09 6.041174e-14 3.056672e+11 2.825750e+11 1.153382e+07 9.313433e+10 8.609829e+10 3.514259e+06 
300 607950 6.500000e-01 1.929417e+03 2.317069e-01 6.977000e-05 3.696201e-09 3.310533e-09 1.259143e-13 6.572948e+11 6.131863e+11 2.213982e+07 2.002795e+11 1.868394e+11 6.746055e+06 
300 607950 7.000000e-01 2.017767e+03 2.891113e-01 6.396000e-05 7.491836e-09 6.748045e-09 2.340990e-13 1.241565e+12 1.170548e+12 3.834453e+07 3.783211e+11 3.566808e+11 1.168406e+07 
300 607950 7.500000e-01 2.105775e+03 3.500867e-01 5.581000e-05 1.440576e-08 1.332532e-08 4.132274e-13 2.226289e+12 2.040421e+12 6.397439e+07 6.784008e+11 6.217619e+11 1.949443e+07 
300 607950 8.000000e-01 2.185248e+03 4.112175e-01 5.349000e-05 2.509781e-08 2.353604e-08 6.779936e-13 3.640421e+12 3.313560e+12 9.837049e+07 1.109350e+12 1.009744e+12 2.997653e+07 
300 607950 8.500000e-01 2.250853e+03 4.648586e-01 5.000000e-05 3.897773e-08 3.728390e-08 1.002412e-12 5.372493e+12 5.023098e+12 1.384465e+08 1.637202e+12 1.530726e+12 4.218985e+07 
