T(K) p(Pa) phi Tf(K) SL(m/s) Xf(m) maxXCH mpXCH intXCH maxSM mpSM intSM maxCM mpCM intCM
300 101325 5.000000e-01 1.477172e+03 4.897147e-02 7.251000e-04 1.179462e-09 1.098904e-09 4.103033e-13 2.875139e+11 2.725070e+11 1.013196e+08 8.719331e+10 8.264303e+10 3.072605e+07 
300 101325 5.500000e-01 1.572113e+03 7.946534e-02 5.533900e-04 7.121372e-09 6.575677e-09 1.904598e-12 1.570940e+12 1.443850e+12 4.238168e+08 4.765411e+11 4.379972e+11 1.285608e+08 
300 101325 6.000000e-01 1.663627e+03 1.155709e-01 4.366900e-04 2.807102e-08 2.685023e-08 6.171805e-12 5.650278e+12 5.376692e+12 1.255526e+09 1.714402e+12 1.631418e+12 3.809392e+08 
300 101325 6.500000e-01 1.752971e+03 1.545883e-01 3.887500e-04 8.390322e-08 7.978195e-08 1.602159e-11 1.550131e+13 1.470211e+13 2.998401e+09 4.704356e+12 4.461898e+12 9.099280e+08 
300 101325 7.000000e-01 1.838556e+03 1.956610e-01 3.333300e-04 2.037145e-07 1.931904e-07 3.451459e-11 3.462683e+13 3.275352e+13 5.974960e+09 1.051048e+13 9.942128e+12 1.813561e+09 
300 101325 7.500000e-01 1.921481e+03 2.384948e-01 3.229100e-04 4.284897e-07 3.984071e-07 6.678636e-11 6.746829e+13 6.602282e+13 1.063091e+10 2.048270e+13 2.004412e+13 3.227305e+09 
300 101325 8.000000e-01 1.999693e+03 2.782662e-01 2.916700e-04 7.947891e-07 7.406641e-07 1.147779e-10 1.163452e+14 1.085140e+14 1.717040e+10 3.532650e+13 3.294951e+13 5.213337e+09 
300 101325 8.500000e-01 2.073059e+03 3.144795e-01 2.864600e-04 1.343484e-06 1.259482e-06 1.845290e-10 1.833214e+14 1.792693e+14 2.548543e+10 5.567055e+13 5.444084e+13 7.739029e+09 
300 101325 9.000000e-01 2.137945e+03 3.463382e-01 2.708300e-04 2.094263e-06 1.994747e-06 2.762107e-10 2.671181e+14 2.549845e+14 3.614974e+10 8.112800e+13 7.744455e+13 1.097880e+10 
300 101325 9.500000e-01 2.193013e+03 3.713714e-01 2.604100e-04 3.065277e-06 2.917576e-06 3.940645e-10 3.664724e+14 3.498336e+14 4.841830e+10 1.113165e+14 1.062648e+14 1.470654e+10 
300 101325 1.000000e+00 2.228760e+03 3.884056e-01 2.500000e-04 4.218260e-06 4.127112e-06 5.354857e-10 4.742020e+14 4.648013e+14 6.195890e+10 1.440551e+14 1.412015e+14 1.882142e+10 
300 101325 1.050000e+00 2.233427e+03 3.958284e-01 2.656300e-04 5.479869e-06 5.186966e-06 7.072798e-10 5.808082e+14 5.667757e+14 7.678615e+10 1.764581e+14 1.721980e+14 2.332797e+10 
300 101325 1.100000e+00 2.210460e+03 3.922978e-01 2.656300e-04 6.707466e-06 6.473378e-06 8.888387e-10 6.729901e+14 6.512662e+14 9.171455e+10 2.044848e+14 1.978872e+14 2.786604e+10 
300 101325 1.150000e+00 2.173635e+03 3.757768e-01 2.812500e-04 7.655267e-06 7.297086e-06 1.076553e-09 7.295909e+14 7.000216e+14 1.053603e+11 2.217033e+14 2.127215e+14 3.201518e+10 
300 101325 1.200000e+00 2.135502e+03 3.459716e-01 3.020800e-04 8.022516e-06 7.687980e-06 1.237953e-09 7.296277e+14 7.001992e+14 1.153543e+11 2.217348e+14 2.127944e+14 3.505528e+10 
300 101325 1.250000e+00 2.094322e+03 2.982846e-01 3.802100e-04 7.371507e-06 6.577237e-06 1.348069e-09 6.444914e+14 6.072795e+14 1.192328e+11 1.958790e+14 1.845721e+14 3.623731e+10 
300 101325 1.300000e+00 2.053134e+03 2.411598e-01 5.025200e-04 5.613753e-06 4.484218e-06 1.323699e-09 4.744101e+14 4.049693e+14 1.128401e+11 1.441986e+14 1.230946e+14 3.429762e+10 
300 101325 1.350000e+00 2.015899e+03 1.859043e-01 7.542300e-04 3.373399e-06 2.174307e-06 1.142811e-09 2.804411e+14 2.038510e+14 9.485789e+10 8.524678e+13 6.196703e+13 2.883405e+10 
300 101325 1.400000e+00 1.980112e+03 1.434657e-01 1.164720e-03 1.571824e-06 7.601209e-07 7.729834e-10 1.314212e+14 6.105825e+13 6.435912e+10 3.995047e+13 1.856162e+13 1.956437e+10 
300 101325 1.450000e+00 1.943826e+03 1.208709e-01 1.295580e-03 8.228598e-07 4.473650e-07 4.720317e-10 6.979959e+13 3.694646e+13 3.981580e+10 2.121897e+13 1.123204e+13 1.210391e+10 
300 101325 1.500000e+00 1.909295e+03 1.053031e-01 1.426440e-03 4.673686e-07 2.583233e-07 2.977762e-10 4.022841e+13 2.159499e+13 2.551486e+10 1.222964e+13 6.565218e+12 7.756639e+09 
300 101325 1.550000e+00 1.876532e+03 9.327410e-02 1.761060e-03 2.709557e-07 1.177777e-07 1.932540e-10 2.369055e+13 1.307609e+13 1.654592e+10 7.202200e+12 3.975426e+12 5.030151e+09 
300 101325 1.600000e+00 1.840904e+03 8.220527e-02 1.885250e-03 1.558968e-07 7.286794e-08 1.224077e-10 1.392945e+13 6.311945e+12 1.088089e+10 4.234760e+12 1.918999e+12 3.307951e+09 
300 101325 1.650000e+00 1.812257e+03 7.464456e-02 2.006100e-03 9.342238e-08 4.560046e-08 8.025697e-11 8.477544e+12 3.998106e+12 7.235015e+09 2.577356e+12 1.215560e+12 2.199607e+09 
300 101325 1.700000e+00 1.786896e+03 6.814926e-02 2.126950e-03 5.884079e-08 3.014071e-08 5.472469e-11 5.402131e+12 2.686343e+12 5.009001e+09 1.642394e+12 8.167510e+11 1.522870e+09 
300 101325 1.800000e+00 1.734384e+03 5.573638e-02 2.707030e-03 2.175960e-08 9.180590e-09 2.454705e-11 2.073230e+12 8.609604e+11 2.326185e+09 6.303292e+11 2.617719e+11 7.072392e+08 



300 303975 5.000000e-01 1.477188e+03 2.266297e-02 4.367700e-04 5.363953e-11 5.347424e-11 1.151150e-14 1.248468e+10 1.235695e+10 2.721995e+06 3.800114e+09 3.761233e+09 8.285212e+05 
300 303975 5.500000e-01 1.571884e+03 3.845672e-02 2.796200e-04 6.442410e-10 6.405976e-10 8.891277e-14 1.334126e+11 1.328161e+11 1.863932e+07 4.061202e+10 4.043045e+10 5.673941e+06 
300 303975 6.000000e-01 1.663171e+03 5.943716e-02 2.056400e-04 4.157029e-09 4.032664e-09 4.286176e-13 7.759390e+11 7.580250e+11 8.095726e+07 2.362215e+11 2.307684e+11 2.464590e+07 
300 303975 6.500000e-01 1.752538e+03 8.491219e-02 1.715500e-04 1.795270e-08 1.720315e-08 1.513068e-12 3.054811e+12 2.877019e+12 2.595717e+08 9.300467e+11 8.759221e+11 7.902695e+07 
300 303975 7.000000e-01 1.837916e+03 1.124678e-01 1.429600e-04 5.643441e-08 5.522216e-08 4.077854e-12 8.834217e+12 8.634040e+12 6.453464e+08 2.689770e+12 2.628831e+12 1.964884e+08 
300 303975 7.500000e-01 1.921301e+03 1.399147e-01 1.239000e-04 1.448877e-07 1.415748e-07 9.312719e-12 2.097248e+13 2.049807e+13 1.366151e+09 6.385860e+12 6.241435e+12 4.159731e+08 
300 303975 8.000000e-01 2.000260e+03 1.680110e-01 1.175400e-04 3.135676e-07 2.989180e-07 1.864761e-11 4.215847e+13 4.020073e+13 2.542423e+09 1.283740e+13 1.224132e+13 7.741698e+08 
300 303975 8.500000e-01 2.075554e+03 1.931362e-01 1.143600e-04 5.996748e-07 5.651911e-07 3.372988e-11 7.546628e+13 7.072562e+13 4.297484e+09 2.298074e+13 2.153727e+13 1.308645e+09 
300 303975 9.000000e-01 2.143487e+03 2.162632e-01 1.080100e-04 1.031736e-06 9.951491e-07 5.541120e-11 1.212572e+14 1.166656e+14 6.623325e+09 3.692645e+13 3.552830e+13 2.016982e+09 
300 303975 9.500000e-01 2.205007e+03 2.351432e-01 1.048300e-04 1.644081e-06 1.584353e-06 8.602238e-11 1.815320e+14 1.753012e+14 9.663390e+09 5.528400e+13 5.338677e+13 2.942880e+09 
300 303975 1.000000e+00 2.248705e+03 2.477953e-01 1.048300e-04 2.412674e-06 2.293640e-06 1.259056e-10 2.513821e+14 2.389776e+14 1.332240e+10 7.655916e+13 7.278171e+13 4.057344e+09 
300 303975 1.050000e+00 2.252308e+03 2.528527e-01 1.080100e-04 3.272201e-06 3.057568e-06 1.743866e-10 3.218967e+14 3.127136e+14 1.728451e+10 9.803806e+13 9.524161e+13 5.264195e+09 
300 303975 1.100000e+00 2.220773e+03 2.485279e-01 1.143600e-04 4.055141e-06 3.705778e-06 2.269864e-10 3.755906e+14 3.604795e+14 2.130500e+10 1.143951e+14 1.097933e+14 6.488909e+09 
300 303975 1.150000e+00 2.180479e+03 2.314794e-01 1.238900e-04 4.395293e-06 4.051633e-06 2.721975e-10 3.882293e+14 3.576519e+14 2.442502e+10 1.182486e+14 1.089358e+14 7.439433e+09 
300 303975 1.200000e+00 2.137563e+03 1.981676e-01 1.556700e-04 3.910961e-06 3.509422e-06 2.941711e-10 3.302830e+14 2.956936e+14 2.521916e+10 1.006021e+14 9.006699e+13 7.681560e+09 
300 303975 1.250000e+00 2.098100e+03 1.598458e-01 2.128500e-04 2.616502e-06 2.154176e-06 2.704134e-10 2.135490e+14 1.738704e+14 2.228817e+10 6.504767e+13 5.296184e+13 6.789022e+09 
300 303975 1.300000e+00 2.056062e+03 1.209766e-01 3.720300e-04 1.053879e-06 6.186936e-07 1.772801e-10 8.535601e+13 4.921670e+13 1.435270e+10 2.600036e+13 1.499208e+13 4.371977e+09 
300 303975 1.350000e+00 2.016396e+03 1.009836e-01 4.922000e-04 4.594934e-07 2.257783e-07 9.713474e-11 3.777267e+13 1.794859e+13 7.944149e+09 1.150611e+13 5.467471e+12 2.419905e+09 
300 303975 1.400000e+00 1.978122e+03 8.916107e-02 6.187300e-04 2.413691e-07 9.478786e-08 5.942653e-11 2.019780e+13 1.132205e+13 4.802451e+09 6.152612e+12 3.448939e+12 1.462912e+09 
300 303975 1.450000e+00 1.941781e+03 8.081160e-02 6.967300e-04 1.374361e-07 5.360964e-08 3.815707e-11 1.165743e+13 4.332244e+12 3.202616e+09 3.551097e+12 1.319711e+12 9.755849e+08 
300 303975 1.500000e+00 1.905340e+03 7.338226e-02 8.717900e-04 7.952206e-08 2.332068e-08 2.521723e-11 6.844218e+12 2.583359e+12 2.109072e+09 2.084909e+12 7.869635e+11 6.424735e+08 
300 303975 1.550000e+00 1.871411e+03 6.633452e-02 1.040490e-03 4.703442e-08 1.145004e-08 1.683874e-11 4.119255e+12 1.600388e+12 1.411918e+09 1.254829e+12 4.875255e+11 4.301059e+08 
300 303975 1.600000e+00 1.842489e+03 6.106167e-02 1.015080e-03 2.935550e-08 9.652367e-09 1.137971e-11 2.617799e+12 8.244222e+11 1.001282e+09 7.974513e+11 2.511451e+11 3.050178e+08 
300 303975 1.650000e+00 1.813944e+03 5.581971e-02 1.183790e-03 1.823244e-08 5.176142e-09 7.840381e-12 1.651036e+12 4.480071e+11 7.008629e+08 5.029518e+11 1.364779e+11 2.135030e+08 
300 303975 1.700000e+00 1.786484e+03 5.112139e-02 1.152590e-03 1.134241e-08 4.259758e-09 5.258314e-12 1.045943e+12 3.801839e+11 4.790850e+08 3.186247e+11 1.158170e+11 1.459436e+08 
300 303975 1.750000e+00 1.762029e+03 4.762225e-02 1.516580e-03 7.438992e-09 1.774590e-09 3.858197e-12 6.949039e+11 2.202407e+11 3.477964e+08 2.116890e+11 6.709324e+10 1.059497e+08 
300 303975 1.800000e+00 1.736864e+03 4.396608e-02 1.480180e-03 4.758521e-09 1.486310e-09 2.641956e-12 4.507320e+11 1.339377e+11 2.474578e+08 1.373070e+11 4.080239e+10 7.538367e+07 



300 607950 5.000000e-01 1.477814e+03 1.496704e-02 4.253400e-04 3.949239e-12 3.722157e-12 8.524468e-16 9.054775e+08 8.639167e+08 1.995717e+05 2.758637e+08 2.632016e+08 6.080150e+04 
300 607950 5.500000e-01 1.572293e+03 2.473176e-02 2.309000e-04 7.994998e-11 7.930970e-11 8.956867e-15 1.611453e+10 1.606489e+10 1.831380e+06 4.909693e+09 4.894568e+09 5.579735e+05 
300 607950 6.000000e-01 1.663168e+03 3.807477e-02 1.501800e-04 7.705395e-10 7.643182e-10 5.679449e-14 1.387014e+11 1.381219e+11 1.036132e+07 4.226051e+10 4.208398e+10 3.156951e+06 
300 607950 6.500000e-01 1.752557e+03 5.511871e-02 1.162800e-04 4.592582e-09 4.395584e-09 2.555960e-13 7.474532e+11 7.076562e+11 4.188761e+07 2.277469e+11 2.156212e+11 1.276300e+07 
300 607950 7.000000e-01 1.837652e+03 7.497102e-02 9.535000e-05 1.826267e-08 1.722701e-08 8.364617e-13 2.707095e+12 2.660007e+12 1.247551e+08 8.248690e+11 8.105226e+11 3.801359e+07 
300 607950 7.500000e-01 1.920718e+03 9.621638e-02 8.139000e-05 5.594138e-08 5.297209e-08 2.222893e-12 7.656907e+12 7.292234e+12 3.072480e+08 2.333172e+12 2.222056e+12 9.362272e+07 
300 607950 8.000000e-01 2.001029e+03 1.171684e-01 7.442000e-05 1.401738e-07 1.302256e-07 5.045058e-12 1.778679e+13 1.735815e+13 6.416433e+08 5.420022e+12 5.289419e+12 1.955222e+08 
300 607950 8.500000e-01 2.076224e+03 1.364152e-01 6.745000e-05 2.963521e-07 2.761503e-07 9.904740e-12 3.508016e+13 3.293498e+13 1.184072e+09 1.068993e+13 1.003626e+13 3.608196e+08 
300 607950 9.000000e-01 2.146300e+03 1.536227e-01 6.395000e-05 5.554396e-07 5.303254e-07 1.765741e-11 6.138760e+13 5.836345e+13 1.974097e+09 1.870693e+13 1.778542e+13 6.015744e+08 
300 607950 9.500000e-01 2.209966e+03 1.672984e-01 6.279000e-05 9.413414e-07 9.025627e-07 2.918893e-11 9.776710e+13 9.323517e+13 3.068006e+09 2.979361e+13 2.841262e+13 9.349434e+08 
300 607950 1.000000e+00 2.257670e+03 1.761708e-01 6.395000e-05 1.450663e-06 1.373270e-06 4.508679e-11 1.418891e+14 1.336715e+14 4.464573e+09 4.324016e+13 4.073599e+13 1.360558e+09 
300 607950 1.050000e+00 2.259472e+03 1.802712e-01 6.627000e-05 2.025712e-06 1.867270e-06 6.503252e-11 1.869354e+14 1.829389e+14 6.035109e+09 5.696892e+13 5.575108e+13 1.839206e+09 
