X(mm)  p(Pa)  T(K)  X_N2_  X_H_  X_O2_  X_OH_  X_H2_  X_H2O_  X_CO_  X_CO2_  X_CH4_  X_CH2O_  X_C2H6_  X_CH_  X_C3H8_
0.000000e+00  1.013250e+05  7.000000e+02  7.149321e-01  1.620076e-20  1.900452e-01  3.951224e-17  1.032991e-08  7.145283e-12  1.883664e-13  3.687872e-15  9.502262e-02  3.044204e-13  1.285853e-15  1.914302e-38  1.210964e-18
2.455000e+01  1.013250e+05  7.000000e+02  7.149312e-01  1.243350e-18  1.900450e-01  1.210216e-14  1.310183e-06  2.681623e-09  8.817614e-11  2.152467e-12  9.502249e-02  1.706169e-10  8.080090e-13  5.366850e-36  9.442236e-16
4.811800e+01  1.013250e+05  7.000026e+02  7.148203e-01  2.956011e-14  1.900156e-01  4.395130e-12  1.564269e-04  9.116887e-07  3.883503e-08  1.181954e-09  9.500660e-02  3.726855e-08  4.776453e-10  9.662668e-31  6.926219e-13
4.860900e+01  1.013250e+05  7.000128e+02  7.146747e-01  4.883131e-13  1.899768e-01  2.489025e-11  3.588838e-04  4.269827e-06  2.243726e-07  8.222684e-09  9.498500e-02  5.021872e-08  3.493140e-09  3.829412e-29  6.204402e-12
4.910000e+01  1.013250e+05  7.001128e+02  7.141557e-01  1.522972e-11  1.898362e-01  2.188555e-10  1.070547e-03  3.272210e-05  2.142202e-06  9.725462e-08  9.490209e-02  1.618951e-07  4.425748e-08  9.037672e-27  9.749236e-11
4.925000e+01  1.013250e+05  7.003173e+02  7.137259e-01  1.378801e-10  1.897147e-01  6.216311e-10  1.644778e-03  8.380448e-05  6.298515e-06  3.311871e-07  9.482281e-02  3.636254e-07  1.576682e-07  3.655681e-25  4.086619e-10
4.940000e+01  1.013250e+05  7.010670e+02  7.129380e-01  1.418220e-09  1.894752e-01  2.188986e-09  2.659466e-03  2.514380e-04  2.229830e-05  1.396476e-06  9.464715e-02  1.145825e-06  7.015480e-07  3.747621e-23  2.197621e-09
4.947500e+01  1.013250e+05  7.021873e+02  7.122855e-01  7.480974e-09  1.892529e-01  5.036627e-09  3.458083e-03  4.784777e-04  4.737694e-05  3.347297e-06  9.446346e-02  2.395223e-06  1.738631e-06  9.092951e-22  6.274991e-09
4.955000e+01  1.013250e+05  7.047839e+02  7.113305e-01  3.557167e-08  1.888782e-01  1.396449e-08  4.560744e-03  9.632497e-04  1.080468e-04  8.750911e-06  9.412491e-02  5.558399e-06  4.711949e-06  2.655280e-20  1.999804e-08
4.962500e+01  1.013250e+05  7.107599e+02  7.099101e-01  1.718736e-07  1.882043e-01  4.881301e-08  6.078580e-03  1.993864e-03  2.542732e-04  2.365779e-05  9.347262e-02  1.352510e-05  1.312475e-05  1.049757e-18  6.598536e-08
4.966250e+01  1.013250e+05  7.166202e+02  7.089258e-01  4.413758e-07  1.876359e-01  1.114142e-07  7.048682e-03  2.939721e-03  4.041130e-04  4.086716e-05  9.290323e-02  2.191511e-05  2.289473e-05  1.007762e-17  1.292161e-07
4.970000e+01  1.013250e+05  7.261660e+02  7.076799e-01  1.073015e-06  1.867824e-01  2.688372e-07  8.194004e-03  4.403649e-03  6.574727e-04  7.291219e-05  9.204029e-02  3.648471e-05  4.114348e-05  9.797518e-17  2.653223e-07
4.971875e+01  1.013250e+05  7.331474e+02  7.069306e-01  1.722875e-06  1.861866e-01  4.360986e-07  8.842354e-03  5.431303e-03  8.490023e-04  9.917355e-05  9.143942e-02  4.766279e-05  5.598415e-05  3.354814e-16  3.913850e-07
4.973750e+01  1.013250e+05  7.422400e+02  7.060802e-01  2.738668e-06  1.854292e-01  7.087760e-07  9.545925e-03  6.730328e-03  1.104961e-03  1.364712e-04  9.068082e-02  6.279290e-05  7.693374e-05  1.140808e-15  5.880380e-07
4.974688e+01  1.013250e+05  7.478004e+02  7.056123e-01  3.465435e-06  1.849722e-01  9.079227e-07  9.919629e-03  7.506444e-03  1.264863e-03  1.609344e-04  9.022696e-02  7.231629e-05  9.055004e-05  2.137802e-15  7.270264e-07
4.975625e+01  1.013250e+05  7.541752e+02  7.051136e-01  4.378358e-06  1.844519e-01  1.162442e-06  1.030842e-02  8.381848e-03  1.451053e-03  1.904286e-04  8.971391e-02  8.347162e-05  1.068606e-04  4.002011e-15  9.038765e-07
4.976563e+01  1.013250e+05  7.614691e+02  7.045825e-01  5.525825e-06  1.838594e-01  1.486534e-06  1.071250e-02  9.367538e-03  1.667513e-03  2.259244e-04  8.913447e-02  9.650439e-05  1.263303e-04  7.494240e-15  1.128196e-06
4.977500e+01  1.013250e+05  7.697966e+02  7.040178e-01  6.968146e-06  1.831850e-01  1.897644e-06  1.113202e-02  1.047528e-02  1.918720e-03  2.685571e-04  8.848075e-02  1.116860e-04  1.494788e-04  1.403646e-14  1.411665e-06
4.978438e+01  1.013250e+05  7.792811e+02  7.034183e-01  8.780365e-06  1.824180e-01  2.417195e-06  1.156706e-02  1.171752e-02  2.209682e-03  3.196471e-04  8.774425e-02  1.293132e-04  1.768770e-04  2.629345e-14  1.768279e-06
