T(K) p(Pa) phi Tf(K) SL(m/s) Xf(m) maxXCH mpXCH intXCH maxSM mpSM intSM maxCM mpCM intCM
300 101325 5.000000e-01 1.570379e+03 3.236696e-01 3.958300e-04 2.024815e-09 1.803380e-09 3.980342e-13 4.595930e+11 4.312534e+11 9.045746e+07 1.395117e+11 1.309161e+11 2.745838e+07 
300 101325 5.500000e-01 1.679831e+03 4.695710e-01 3.333300e-04 6.302931e-09 5.909321e-09 1.057733e-12 1.319388e+12 1.220656e+12 2.232987e+08 4.005969e+11 3.706361e+11 6.779654e+07 
300 101325 6.000000e-01 1.772532e+03 6.059328e-01 3.020800e-04 1.427513e-08 1.335947e-08 2.144912e-12 2.799983e+12 2.553706e+12 4.240277e+08 8.502720e+11 7.755285e+11 1.287614e+08 
300 101325 6.500000e-01 1.852693e+03 7.452195e-01 2.864600e-04 2.750362e-08 2.485873e-08 3.823247e-12 5.100183e+12 5.078156e+12 6.990209e+08 1.548984e+12 1.542315e+12 2.122942e+08 
300 101325 7.000000e-01 1.943003e+03 9.034681e-01 2.500000e-04 5.204521e-08 5.021358e-08 6.629326e-12 9.075181e+12 8.602753e+12 1.168971e+09 2.756644e+12 2.613240e+12 3.550714e+08 
300 101325 7.500000e-01 2.027605e+03 1.067170e+00 2.291700e-04 9.123157e-08 8.821337e-08 1.089320e-11 1.502501e+13 1.429288e+13 1.815000e+09 4.564516e+12 4.342266e+12 5.513730e+08 
300 101325 8.000000e-01 2.108119e+03 1.228256e+00 2.135400e-04 1.510246e-07 1.491956e-07 1.701269e-11 2.350829e+13 2.303045e+13 2.688761e+09 7.142579e+12 6.997536e+12 8.169077e+08 
300 101325 8.500000e-01 2.184884e+03 1.387843e+00 2.135400e-04 2.400975e-07 2.311798e-07 2.619566e-11 3.538511e+13 3.364553e+13 3.911782e+09 1.075238e+13 1.022409e+13 1.188631e+09 
300 101325 9.000000e-01 2.249017e+03 1.529629e+00 2.135400e-04 3.544437e-07 3.317627e-07 3.778207e-11 4.985240e+13 4.910754e+13 5.296552e+09 1.514994e+13 1.492387e+13 1.609564e+09 
300 101325 9.500000e-01 2.301919e+03 1.661285e+00 2.135400e-04 5.059307e-07 4.614557e-07 5.284253e-11 6.784757e+13 6.617709e+13 7.087514e+09 2.062055e+13 2.011321e+13 2.154014e+09 
