# p = 1 atm, T = 300 K, U₀ = 30 m/s, non-reacting, no cone
# SI units (mm, m/s)
# Axial scan
# X  Y  Z  uc  vc  wc  uz  ur1  ur2  uz'  ur1'  ur2'
35.00   0.00    -47.00  0   12  0   ?   -1.66   ?   ?   3.62    ?
35.00   0.00    -45.00  0   4   0   ?   ?   ?   ?   ?   ?
35.00   0.00    -43.00  0   2   0   ?   ?   ?   ?   ?   ?
35.00   0.00    -41.00  0   68  0   ?   -4.57   ?   ?   3.67    ?
35.00   0.00    -39.00  0   32  0   ?   -4.73   ?   ?   3.38    ?
35.00   0.00    -37.00  0   57  0   ?   -5.25   ?   ?   3.17    ?
35.00   0.00    -35.00  0   73  0   ?   -5.50   ?   ?   3.16    ?
35.00   0.00    -33.00  75  91  0   10.41   -5.64   ?   4.56    3.23    ?
35.00   0.00    -31.00  110 151 0   12.18   -5.27   ?   5.22    3.38    ?
35.00   0.00    -30.00  499 183 0   13.25   -5.18   ?   5.56    3.23    ?
35.00   0.00    -29.00  848 206 0   13.08   -5.33   ?   5.85    3.49    ?
35.00   0.00    -28.00  612 158 0   13.72   -5.79   ?   6.37    4.10    ?
35.00   0.00    -27.00  332 147 0   13.64   -5.65   ?   6.62    4.22    ?
35.00   0.00    -26.00  1386    129 0   12.97   -5.85   ?   6.96    4.42    ?
35.00   0.00    -25.00  2678    119 0   12.12   -5.43   ?   7.54    3.76    ?
35.00   0.00    -24.00  2334    83  0   10.95   -4.94   ?   7.91    4.21    ?
35.00   0.00    -23.00  2160    64  6   10.14   -4.35   ?   8.17    4.57    ?
35.00   0.00    -22.00  1907    61  37  8.70    -5.42   5.38    8.36    4.33    3.68
35.00   0.00    -21.00  1737    34  32  6.95    -4.96   2.72    8.20    4.62    3.44
35.00   0.00    -20.00  10  1   0   ?   ?   ?   ?   ?   ?
35.00   0.00    -19.00  646 40  10  5.13    -3.89   ?   7.60    3.33    ?
35.00   0.00    -18.00  899 43  17  2.49    -3.31   2.32    6.87    4.08    3.15
35.00   0.00    -17.00  815 38  9   1.18    -2.35   ?   6.22    3.08    ?
35.00   0.00    -16.00  557 30  6   -0.39   -3.09   ?   5.79    3.30    ?
35.00   0.00    -15.00  636 16  27  -1.71   -2.10   1.17    4.21    1.90    1.79
35.00   0.00    -14.00  593 24  14  -2.50   -2.27   1.01    3.70    2.21    1.30
35.00   0.00    -13.00  556 15  12  -2.97   -1.11   1.67    3.06    2.04    1.41
35.00   0.00    -12.00  497 15  15  -3.58   -1.89   1.52    2.21    2.12    1.42
35.00   0.00    -11.00  589 11  22  -3.49   -1.73   0.96    2.18    0.98    1.23
35.00   0.00    -10.00  648 20  28  -3.70   -1.63   1.45    2.08    1.24    1.84
35.00   0.00    -9.00   645 17  41  -3.52   -1.65   1.75    1.84    1.25    1.17
35.00   0.00    -8.00   496 12  44  -3.50   -1.56   1.83    1.99    1.13    1.23
35.00   0.00    -7.00   489 9   44  -3.21   ?   2.02    1.91    ?   1.61
35.00   0.00    -6.00   454 15  29  -3.39   -0.54   1.63    1.87    1.58    1.46
35.00   0.00    -5.00   364 19  32  -3.46   -2.05   1.80    1.64    1.57    1.51
35.00   0.00    -4.00   394 7   37  -3.36   ?   1.83    1.79    ?   1.65
35.00   0.00    -3.00   410 17  49  -2.90   -0.68   1.65    2.15    0.76    1.96
35.00   0.00    -2.00   330 15  58  -2.81   -0.92   2.10    2.00    1.42    1.69
35.00   0.00    -1.00   340 27  70  -2.70   -1.01   2.24    2.16    1.35    1.66
35.00   0.00    0.00    262 10  24  -2.79   ?   -6.16   2.15    ?   10.19
35.00   0.00    1.00    294 11  21  -2.61   0.97    8.49    1.89    1.33    9.58
35.00   0.00    2.00    161 13  29  -2.52   0.02    -1.89   2.22    1.50    1.45
35.00   0.00    3.00    111 10  27  -2.43   ?   -0.89   2.23    ?   1.07
35.00   0.00    4.00    75  6   22  -2.75   ?   -1.42   2.44    ?   1.60
35.00   0.00    5.00    174 17  40  -2.20   0.20    -1.52   2.47    1.52    1.65
35.00   0.00    6.00    198 16  30  -2.18   1.22    -1.77   2.58    1.39    1.84
35.00   0.00    7.00    236 16  38  -2.10   0.50    -1.85   2.75    1.51    1.68
35.00   0.00    8.00    270 20  32  -2.33   0.62    -1.34   2.73    1.21    1.26
35.00   0.00    9.00    288 17  50  -1.93   0.44    -1.05   3.12    2.77    1.15
35.00   0.00    10.00   262 31  61  -1.88   0.55    -0.92   3.32    1.93    1.59
35.00   0.00    11.00   222 12  39  -2.36   0.61    -0.67   2.68    1.30    2.05
35.00   0.00    12.00   198 16  28  -1.46   0.98    -0.14   3.25    1.90    1.18
35.00   0.00    13.00   280 8   41  -1.95   ?   -0.60   3.14    ?   1.03
35.00   0.00    14.00   318 32  33  -1.79   -10.83  -0.18   3.35    8.03    1.89
35.00   0.00    15.00   268 22  39  -1.29   0.79    -0.42   3.88    1.91    1.52
35.00   0.00    16.00   399 32  42  -1.71   -0.67   0.17    3.47    1.54    1.56
35.00   0.00    17.00   311 23  32  -1.22   0.10    0.28    3.85    2.06    2.03
35.00   0.00    18.00   269 29  30  -1.12   -0.25   -0.26   4.50    2.37    2.41
35.00   0.00    19.00   356 29  41  0.18    -1.36   0.79    4.85    2.70    2.47
35.00   0.00    20.00   285 23  28  0.89    -1.01   0.86    5.45    1.97    2.41
35.00   0.00    21.00   178 14  39  2.87    0.01    1.76    6.35    2.53    2.28
35.00   0.00    22.00   145 24  34  4.05    -0.66   1.95    7.27    2.77    2.81
35.00   0.00    23.00   183 13  43  4.61    0.53    1.29    7.53    2.78    3.02
35.00   0.00    24.00   264 14  24  6.61    -0.80   3.01    7.47    2.44    3.65
35.00   0.00    25.00   346 14  28  6.81    -1.36   3.21    8.35    3.71    3.81
35.00   0.00    26.00   282 15  24  7.93    -3.00   6.23    7.92    3.42    2.57
35.00   0.00    27.00   302 12  0   10.11   -2.10   ?   7.57    3.43    ?
35.00   0.00    28.00   287 13  0   10.82   -5.53   ?   7.87    4.44    ?
35.00   0.00    29.00   310 31  0   10.62   -3.11   ?   7.54    3.41    ?
35.00   0.00    30.00   364 46  0   10.99   -4.17   ?   7.35    4.06    ?
35.00   0.00    31.00   186 44  0   12.16   -4.76   ?   6.94    4.59    ?
35.00   0.00    33.00   218 32  0   11.56   -6.17   ?   6.62    4.56    ?
35.00   0.00    35.00   190 39  0   11.83   -5.54   ?   5.64    4.56    ?
35.00   0.00    37.00   0   39  0   ?   -5.02   ?   ?   3.45    ?
35.00   0.00    39.00   0   52  0   ?   -5.46   ?   ?   3.75    ?
35.00   0.00    41.00   0   52  0   ?   -3.53   ?   ?   3.60    ?
35.00   0.00    43.00   0   55  0   ?   -4.33   ?   ?   3.70    ?
35.00   0.00    45.00   0   60  0   ?   -4.45   ?   ?   3.31    ?
35.00   0.00    47.00   0   58  0   ?   -4.86   ?   ?   2.87    ?
35.00   0.00    49.00   0   59  0   ?   -3.60   ?   ?   3.98    ?
35.00   0.00    51.00   0   119 0   ?   -3.55   ?   ?   3.53    ?


# 75 mm Y traverse
# X  Y  Z  uc  vc  wc  uz  uθ  ur  uz'  uθ'  ur'
75.00   51.00   0.00    4149    0   851 2.17    -0.74   ?   3.86    1.62    ?
75.00   49.00   0.00    4045    0   955 2.44    -0.80   ?   3.72    1.70    ?
75.00   47.00   0.00    4502    0   498 3.38    -2.39   ?   3.79    2.58    ?
75.00   45.00   0.00    4550    0   450 4.10    -2.44   ?   4.09    2.43    ?
75.00   43.00   0.00    4598    0   402 2.72    -2.86   ?   3.88    2.70    ?
75.00   41.00   0.00    4621    0   379 1.80    -3.01   ?   3.96    2.83    ?
75.00   39.00   0.00    4570    0   430 0.78    -2.57   ?   4.01    2.70    ?
75.00   37.00   0.00    4588    0   412 -0.03   -3.04   ?   3.50    2.28    ?
75.00   35.00   0.00    4529    0   471 -0.55   -2.98   ?   3.49    2.44    ?
75.00   33.00   0.00    4466    0   534 -1.26   -2.83   ?   3.16    2.38    ?
75.00   31.00   0.00    4481    0   519 -1.61   -2.97   ?   2.93    2.30    ?
75.00   30.00   0.00    4516    0   484 -1.78   -3.14   ?   2.66    2.07    ?
75.00   29.00   0.00    4515    0   485 -2.13   -3.30   ?   2.52    2.23    ?
75.00   28.00   0.00    4481    0   519 -2.26   -3.29   ?   2.51    2.05    ?
75.00   27.00   0.00    4459    0   541 -2.48   -3.36   ?   2.31    2.12    ?
75.00   26.00   0.00    4415    0   585 -2.69   -2.99   ?   2.38    1.96    ?
75.00   25.00   0.00    4458    0   542 -2.68   -3.28   ?   2.28    1.86    ?
75.00   24.00   0.00    4366    55  579 -2.85   -3.21   0.11    2.20    1.98    2.41
75.00   23.00   0.00    1972    12  3016    -3.06   -0.36   -0.81   1.97    0.89    2.20
75.00   22.00   0.00    3385    48  1567    -3.04   -0.96   0.27    1.96    1.32    2.40
75.00   21.00   0.00    3047    21  1932    -3.07   -0.81   -0.20   1.96    1.25    2.00
75.00   20.00   0.00    4293    52  655 -3.09   -2.62   -0.91   2.05    1.95    2.00
75.00   19.00   0.00    4377    66  557 -3.20   -3.10   -0.74   1.96    1.85    2.24
75.00   18.00   0.00    4457    69  474 -3.34   -3.21   -0.86   1.82    1.85    1.97
75.00   17.00   0.00    4531    75  394 -3.25   -3.21   -0.74   1.87    1.89    1.78
75.00   16.00   0.00    4589    51  360 -3.31   -3.62   -0.70   1.84    1.85    2.30
75.00   15.00   0.00    4620    66  314 -3.38   -3.19   -1.12   1.91    1.80    2.02
75.00   14.00   0.00    4611    50  339 -3.39   -3.09   -1.10   1.99    1.80    2.32
75.00   13.00   0.00    4546    74  380 -3.44   -2.78   -1.07   1.90    2.00    2.19
75.00   12.00   0.00    4540    85  375 -3.45   -2.84   -1.01   1.91    1.87    2.09
75.00   11.00   0.00    4568    60  372 -3.32   -2.47   -0.95   1.96    1.92    2.06
75.00   10.00   0.00    4713    92  195 -3.73   -2.23   -1.25   1.82    1.93    2.08
75.00   9.00    0.00    4569    69  362 -3.51   -2.42   -1.35   1.83    1.95    1.96
75.00   8.00    0.00    4531    78  391 -3.51   -2.03   -0.47   1.84    1.97    2.30
75.00   7.00    0.00    4526    76  398 -3.40   -1.97   -1.28   1.92    2.07    1.97
75.00   6.00    0.00    4482    90  428 -3.59   -1.91   -1.09   1.88    2.36    2.21
75.00   5.00    0.00    4518    97  385 -3.37   -1.18   -1.20   1.97    2.21    2.46
75.00   4.00    0.00    4516    67  417 -3.37   -1.23   -1.11   1.96    2.32    2.14
75.00   3.00    0.00    4468    103 429 -3.43   -0.71   -1.38   1.97    2.10    1.94
75.00   2.00    0.00    4556    98  346 -3.47   -0.63   -1.33   2.05    2.13    1.88
75.00   1.00    0.00    4859    89  52  -3.68   -0.15   -1.55   1.95    2.19    2.23
75.00   0.00    0.00    4630    158 212 -3.60   -0.12   1.40    1.95    2.13    2.24
75.00   -1.00   0.00    4605    98  297 -3.57   -0.53   0.86    1.97    2.14    2.07
75.00   -2.00   0.00    4524    81  395 -3.40   -0.50   1.42    2.01    2.22    2.01
75.00   -3.00   0.00    4518    76  406 -3.51   -1.03   0.91    1.92    2.33    2.05
75.00   -4.00   0.00    4493    63  444 -3.47   -1.30   1.16    1.95    2.11    2.34
75.00   -5.00   0.00    4541    72  387 -3.76   -1.73   0.91    1.92    2.28    2.42
75.00   -6.00   0.00    4556    97  347 -3.59   -1.88   1.41    1.97    2.24    2.29
75.00   -7.00   0.00    4523    91  386 -3.51   -2.09   1.13    1.96    2.08    2.19
75.00   -8.00   0.00    4613    118 269 -3.64   -2.65   1.20    1.89    1.94    2.43
75.00   -9.00   0.00    4601    113 286 -3.59   -2.35   0.90    1.75    2.24    1.96
75.00   -10.00  0.00    4558    81  361 -3.53   -2.93   1.77    1.90    2.10    2.15
75.00   -11.00  0.00    4549    84  367 -3.68   -2.77   1.41    1.78    2.00    2.47
75.00   -12.00  0.00    4534    84  382 -3.67   -2.91   0.80    1.83    1.82    2.32
75.00   -13.00  0.00    4547    85  368 -3.68   -3.10   1.32    1.76    1.86    2.17
75.00   -14.00  0.00    4545    74  381 -3.68   -3.44   0.88    1.78    1.89    2.18
75.00   -15.00  0.00    4569    91  340 -3.63   -3.55   0.52    1.79    1.84    2.22
75.00   -16.00  0.00    4482    104 414 -3.58   -3.39   0.73    1.72    1.90    2.21
75.00   -17.00  0.00    4520    90  390 -3.59   -3.65   0.55    1.77    1.86    2.04
75.00   -18.00  0.00    4510    83  407 -3.65   -3.65   0.79    1.75    1.76    2.25
75.00   -19.00  0.00    4503    107 390 -3.48   -3.65   0.51    1.75    1.72    2.32
75.00   -20.00  0.00    4582    83  335 -3.44   -3.59   0.22    1.80    1.83    2.26
75.00   -21.00  0.00    4570    55  375 -3.28   -3.63   0.68    1.80    1.86    1.77
75.00   -22.00  0.00    4583    41  376 -3.32   -3.60   -0.08   1.85    1.75    2.46
75.00   -23.00  0.00    4585    33  382 -3.33   -3.73   0.30    1.87    1.91    3.22
75.00   -24.00  0.00    4645    25  330 -3.07   -3.91   0.43    1.91    2.01    2.42
75.00   -25.00  0.00    4589    10  401 -3.16   -3.41   ?   1.95    2.07    ?
75.00   -26.00  0.00    4618    0   382 -2.95   -3.65   ?   1.96    1.95    ?
75.00   -27.00  0.00    4623    0   377 -2.80   -3.67   ?   2.00    2.04    ?
75.00   -28.00  0.00    4655    0   345 -2.60   -3.89   ?   2.06    2.00    ?
75.00   -29.00  0.00    4650    0   350 -2.44   -3.40   ?   2.20    2.30    ?
75.00   -30.00  0.00    4647    0   353 -2.32   -3.48   ?   2.24    2.18    ?
75.00   -31.00  0.00    4678    0   322 -2.12   -3.39   ?   2.38    2.23    ?
75.00   -33.00  0.00    4660    0   340 -1.54   -2.88   ?   2.51    2.53    ?
75.00   -35.00  0.00    4673    0   327 -0.98   -2.78   ?   2.67    2.76    ?
75.00   -37.00  0.00    4687    0   313 -0.11   -2.69   ?   2.90    3.05    ?
75.00   -39.00  0.00    4706    0   294 0.35    -2.59   ?   2.81    2.80    ?
75.00   -41.00  0.00    4613    0   387 1.35    -2.38   ?   3.01    3.01    ?
75.00   -43.00  0.00    4975    0   25  0.27    -3.39   ?   1.05    2.73    ?
75.00   -45.00  0.00    4998    0   2   0.02    ?   ?   0.26    ?   ?
75.00   -47.00  0.00    4982    0   18  0.17    -2.79   ?   0.92    2.75    ?
75.00   -49.00  0.00    4981    0   19  0.12    -0.76   ?   0.79    2.44    ?
75.00   -51.00  0.00    26  0   4974    7.90    0.02    ?   3.19    0.23    ?


# 75 mm Z traverse
# X  Y  Z  uc  vc  wc  uz  uθ  ur  uz'  uθ'  ur'
75.00   0.00    -51.00  0   5000    0   ?   -0.09   ?   ?   0.37    ?
75.00   0.00    -49.00  0   5000    0   ?   -2.71   ?   ?   2.57    ?
75.00   0.00    -47.00  0   5000    0   ?   -2.76   ?   ?   2.71    ?
75.00   0.00    -45.00  0   5000    0   ?   -2.80   ?   ?   2.70    ?
75.00   0.00    -43.00  0   4849    0   ?   -2.77   ?   ?   2.75    ?
75.00   0.00    -41.00  0   5000    0   ?   -2.68   ?   ?   2.87    ?
75.00   0.00    -39.00  0   5000    0   ?   -2.77   ?   ?   2.85    ?
75.00   0.00    -37.00  0   4934    0   ?   -2.90   ?   ?   2.82    ?
75.00   0.00    -35.00  0   4220    0   ?   -2.96   ?   ?   2.65    ?
75.00   0.00    -33.00  2643    2357    0   -0.64   -2.81   ?   3.50    2.74    ?
75.00   0.00    -31.00  3663    1337    0   -1.24   -2.95   ?   3.47    2.52    ?
75.00   0.00    -30.00  4074    926 0   -1.64   -3.08   ?   3.08    2.57    ?
75.00   0.00    -29.00  4103    897 0   -2.05   -3.19   ?   2.81    2.50    ?
75.00   0.00    -28.00  4121    879 0   -2.44   -3.03   ?   2.73    2.34    ?
75.00   0.00    -27.00  4281    719 0   -2.18   -2.87   ?   2.79    2.58    ?
75.00   0.00    -26.00  4292    708 0   -2.58   -3.09   ?   2.68    2.21    ?
75.00   0.00    -25.00  4384    616 0   -2.75   -2.91   ?   2.56    2.16    ?
75.00   0.00    -24.00  4115    885 0   -2.99   -3.27   ?   2.46    2.16    ?
75.00   0.00    -23.00  4235    710 55  -3.19   -2.81   0.07    2.10    1.88    1.91
75.00   0.00    -22.00  4191    539 270 -3.27   -3.53   -0.55   2.20    2.10    2.09
75.00   0.00    -21.00  4356    447 197 -3.24   -3.50   -0.52   2.31    1.79    2.11
75.00   0.00    -20.00  4252    503 245 -3.28   -3.30   -0.64   2.18    2.03    2.25
75.00   0.00    -19.00  4250    507 243 -3.22   -3.26   -0.50   2.10    1.89    2.13
75.00   0.00    -18.00  4338    459 203 -3.36   -3.39   -0.34   2.08    1.87    2.07
75.00   0.00    -17.00  4332    419 249 -3.46   -3.38   -0.45   1.94    1.76    2.37
75.00   0.00    -16.00  4305    437 258 -3.47   -3.28   -0.39   1.92    1.89    2.20
75.00   0.00    -15.00  4353    343 304 -3.63   -3.55   -0.82   1.86    1.95    2.24
75.00   0.00    -14.00  4339    339 322 -3.40   -3.54   -0.62   2.05    1.88    2.45
75.00   0.00    -13.00  4492    243 265 -3.56   -3.55   -0.61   1.84    1.83    2.00
75.00   0.00    -12.00  4425    320 255 -3.37   -3.24   -0.42   1.88    1.67    2.29
75.00   0.00    -11.00  4250    297 453 -3.59   -3.32   -0.23   1.79    1.62    2.27
75.00   0.00    -10.00  4275    356 369 -3.51   -3.21   -0.23   1.93    1.96    2.34
75.00   0.00    -9.00   4390    255 355 -3.63   -3.04   -0.52   1.80    1.87    2.18
75.00   0.00    -8.00   4090    450 460 -3.65   -2.80   -0.49   1.97    2.03    2.26
75.00   0.00    -7.00   4362    296 342 -3.52   -2.98   -0.73   1.89    2.07    2.44
75.00   0.00    -6.00   4351    283 366 -3.72   -2.26   -0.51   1.94    2.04    2.05
75.00   0.00    -5.00   4372    295 333 -3.66   -2.24   -0.17   1.85    1.93    2.31
75.00   0.00    -4.00   4336    287 377 -3.38   -2.34   0.03    1.89    2.24    2.39
75.00   0.00    -3.00   4347    263 390 -3.39   -2.19   -0.38   1.96    2.21    2.37
75.00   0.00    -2.00   4343    276 381 -3.53   -1.66   -0.18   1.92    2.15    2.32
75.00   0.00    -1.00   4247    255 498 -3.67   -1.16   -0.13   1.89    2.14    2.39
75.00   0.00    0.00    4623    290 87  -3.47   -1.51   0.02    1.99    2.01    1.94
75.00   0.00    1.00    4361    261 378 -3.59   1.06    0.12    1.88    1.84    2.25
75.00   0.00    2.00    4343    211 446 -3.57   0.37    0.13    1.98    2.08    2.37
75.00   0.00    3.00    4351    176 473 -3.85   0.81    0.09    1.94    2.20    2.33
75.00   0.00    4.00    4419    150 431 -3.63   -0.18   0.37    2.08    2.38    2.30
75.00   0.00    5.00    4510    137 353 -3.41   0.82    -0.09   1.94    2.07    2.61
75.00   0.00    6.00    4379    146 475 -3.43   -0.20   -0.02   2.07    2.24    2.11
75.00   0.00    7.00    4607    96  297 -3.67   -1.18   0.19    1.87    1.95    2.34
75.00   0.00    8.00    4426    104 470 -3.47   -1.18   0.03    2.15    1.99    2.36
75.00   0.00    9.00    4428    119 453 -3.31   -1.78   0.47    1.93    2.41    2.50
75.00   0.00    10.00   4552    117 331 -3.80   -1.65   0.32    1.93    2.17    2.03
75.00   0.00    11.00   4517    119 364 -3.56   -1.69   -0.12   1.85    2.04    2.46
75.00   0.00    12.00   4558    91  351 -3.67   -2.12   0.04    1.80    2.07    2.36
75.00   0.00    13.00   4475    118 407 -3.54   -2.17   -0.01   1.80    2.08    2.28
75.00   0.00    14.00   4560    110 330 -3.73   -2.10   0.35    1.79    2.03    2.26
75.00   0.00    15.00   4460    133 407 -3.62   -2.85   0.34    1.81    2.00    2.09
75.00   0.00    16.00   4462    122 416 -3.64   -2.73   0.19    1.79    2.17    2.27
75.00   0.00    17.00   4511    118 371 -3.67   -2.93   0.15    1.71    1.64    2.23
75.00   0.00    18.00   4442    164 394 -3.54   -2.52   -0.13   1.88    2.03    2.63
75.00   0.00    19.00   4467    130 403 -3.68   -2.96   -0.23   1.84    1.93    2.38
75.00   0.00    20.00   4450    146 404 -3.74   -3.24   -0.18   1.77    1.85    2.22
75.00   0.00    21.00   4494    138 368 -3.61   -2.90   0.14    1.76    1.87    2.21
75.00   0.00    22.00   4478    138 384 -3.49   -3.59   0.14    1.84    1.95    2.08
75.00   0.00    23.00   4448    140 412 -3.54   -2.96   -0.08   1.89    2.05    2.39
75.00   0.00    24.00   4503    151 346 -3.49   -3.31   0.12    1.81    1.88    2.23
75.00   0.00    25.00   4523    134 343 -3.28   -3.30   -0.09   1.94    1.77    2.21
75.00   0.00    26.00   4549    143 308 -3.25   -3.16   -0.36   2.01    2.10    2.23
75.00   0.00    27.00   4790    160 50  -3.09   -3.37   -0.64   1.96    2.07    2.22
75.00   0.00    28.00   4863    137 0   -3.04   -3.39   ?   2.04    1.88    ?
75.00   0.00    29.00   4816    184 0   -3.01   -2.88   ?   2.12    2.24    ?
75.00   0.00    30.00   4841    159 0   -2.85   -2.95   ?   2.12    2.23    ?
75.00   0.00    31.00   4789    211 0   -2.69   -3.54   ?   2.33    2.01    ?
75.00   0.00    33.00   4676    324 0   -2.28   -3.39   ?   2.40    2.35    ?
75.00   0.00    35.00   0   1434    0   ?   -3.14   ?   ?   2.36    ?
75.00   0.00    37.00   0   1341    0   ?   -3.07   ?   ?   2.42    ?
75.00   0.00    39.00   0   934 0   ?   -3.11   ?   ?   2.55    ?
75.00   0.00    41.00   0   1084    0   ?   -3.29   ?   ?   2.70    ?
75.00   0.00    43.00   0   1145    0   ?   -3.12   ?   ?   2.64    ?
75.00   0.00    45.00   0   1565    0   ?   -2.88   ?   ?   2.76    ?
75.00   0.00    47.00   0   1232    0   ?   -2.99   ?   ?   2.76    ?
75.00   0.00    49.00   0   1139    0   ?   -2.99   ?   ?   2.76    ?
75.00   0.00    51.00   0   1330    0   ?   -2.56   ?   ?   2.68    ?
