# p = 1 atm, T = 300 K, U₀ = 30 m/s, non-reacting, no cone
# SI units (mm, m/s)
# Axial scan
# X  Y  Z  uc  vc  wc  uz  ur1  ur2  uz'  ur1'  ur2'
15.00   37.00   0.00    12  0   16  2.16    -3.99   ?   2.23    1.97    ?
15.00   35.00   0.00    21  0   33  2.84    -3.84   ?   1.79    2.49    ?
15.00   33.00   0.00    2   0   13  ?   -4.20   ?   ?   2.46    ?
15.00   33.00   0.00    2   0   13  ?   -4.20   ?   ?   2.46    ?
15.00   30.00   0.00    128 0   1   3.83    ?   ?   2.07    ?   ?
15.00   29.00   0.00    102 0   0   3.25    ?   ?   1.91    ?   ?
15.00   28.00   0.00    2958    0   33  3.47    -5.15   ?   1.80    1.93    ?
15.00   27.00   0.00    2644    0   43  3.42    -5.58   ?   1.80    2.60    ?
15.00   26.00   0.00    1940    0   41  3.50    -6.02   ?   1.93    2.56    ?
15.00   25.00   0.00    1512    0   55  3.80    -6.56   ?   2.16    2.89    ?
15.00   24.00   0.00    1044    8   87  4.62    -6.39   ?   2.65    3.50    ?
15.00   23.00   0.00    580 5   139 6.22    -8.34   ?   3.79    3.57    ?
15.00   22.00   0.00    480 66  186 9.41    -9.58   2.55    5.12    4.31    4.12
15.00   21.00   0.00    673 100 297 12.77   -11.61  3.51    5.58    3.75    4.40
15.00   20.00   0.00    1250    334 321 17.15   -12.12  4.40    5.62    3.64    4.42
15.00   19.00   0.00    2171    355 325 20.76   -13.05  4.63    4.92    2.76    3.47
15.00   18.00   0.00    2789    383 198 23.36   -12.42  4.20    4.11    3.82    2.94
15.00   17.00   0.00    2419    267 156 24.39   -10.82  4.34    3.75    3.12    3.11
15.00   16.00   0.00    1855    175 140 22.51   -6.04   4.36    4.79    5.38    2.60
15.00   15.00   0.00    2149    272 148 18.44   -3.44   4.37    5.55    4.94    1.91
15.00   14.00   0.00    2242    261 164 14.24   -1.65   3.90    5.70    3.14    1.83
15.00   13.00   0.00    2741    298 163 10.99   -0.71   2.94    5.27    2.74    1.93
15.00   12.00   0.00    3570    329 207 7.78    0.10    2.32    4.84    2.39    1.81
15.00   11.00   0.00    4092    99  217 5.23    0.94    2.09    4.23    2.72    2.12
15.00   10.00   0.00    4023    223 203 3.09    0.70    1.52    3.65    2.34    1.97
15.00   9.00    0.00    3399    97  177 2.52    5.57    1.10    3.26    7.97    2.14
15.00   8.00    0.00    3275    77  197 2.23    0.69    1.24    3.07    1.99    2.32
15.00   7.00    0.00    2503    122 178 2.17    3.30    1.87    3.19    6.64    1.90
15.00   6.00    0.00    2294    131 166 2.18    1.03    1.22    3.03    3.70    1.96
15.00   5.00    0.00    1870    49  185 2.66    0.63    0.78    2.96    2.32    1.99
15.00   4.00    0.00    1971    100 176 2.54    1.66    1.36    2.81    4.79    1.82
15.00   3.00    0.00    2205    50  64  2.43    1.07    1.12    2.98    3.22    1.46
15.00   2.00    0.00    2550    113 74  2.44    1.34    1.32    2.94    4.18    1.84
15.00   1.00    0.00    2228    92  175 2.40    5.65    1.03    2.79    8.05    1.72
15.00   0.00    0.00    2355    61  200 2.29    -0.29   -0.95   2.78    2.44    1.51
15.00   -1.00   0.00    3473    5   151 1.93    -0.02   ?   2.84    2.19    ?
15.00   -2.00   0.00    2703    27  163 1.76    -0.30   0.06    2.84    1.73    1.49
15.00   -3.00   0.00    2648    49  174 1.46    -0.52   -0.60   2.80    2.41    1.57
15.00   -4.00   0.00    1837    18  179 1.39    -0.21   0.76    2.77    2.16    1.39
15.00   -5.00   0.00    1604    71  184 0.81    -0.04   0.12    2.75    1.72    1.33
15.00   -6.00   0.00    1783    35  151 0.66    -2.62   0.57    2.77    6.86    1.67
15.00   -7.00   0.00    1875    22  170 0.26    -4.27   0.17    2.76    7.92    1.27
15.00   -8.00   0.00    2107    11  182 -0.13   -3.62   0.52    2.83    6.89    1.81
15.00   -9.00   0.00    2242    17  215 -0.27   -0.91   -0.20   2.84    4.00    2.21
15.00   -10.00  0.00    2792    13  229 -0.38   -0.31   0.84    3.02    2.01    2.01
15.00   -11.00  0.00    3055    24  239 0.27    -0.46   1.26    3.41    2.35    1.86
15.00   -12.00  0.00    4005    44  248 1.31    -0.69   1.41    4.18    2.57    1.99
15.00   -13.00  0.00    4364    60  274 3.27    -0.54   2.03    5.20    3.12    2.10
15.00   -14.00  0.00    4627    13  360 5.52    -0.65   2.28    5.94    3.68    1.48
15.00   -15.00  0.00    4653    22  325 8.19    -2.14   4.41    6.58    4.03    3.26
15.00   -16.00  0.00    4166    11  264 11.89   -4.05   4.52    7.23    4.86    2.06
15.00   -17.00  0.00    4738    3   259 15.57   -7.95   ?   7.89    5.97    ?
15.00   -18.00  0.00    4620    15  365 20.49   -11.30  7.81    7.88    4.71    3.65
15.00   -19.00  0.00    4610    4   386 24.57   -12.32  ?   6.75    3.52    ?
15.00   -20.00  0.00    4682    3   315 25.54   -12.17  ?   5.69    3.75    ?
15.00   -21.00  0.00    4765    0   235 23.77   -10.86  ?   5.94    4.28    ?
15.00   -22.00  0.00    4798    0   202 20.59   -9.45   ?   6.37    4.62    ?
15.00   -23.00  0.00    4756    0   244 15.50   -8.03   ?   6.46    5.31    ?
15.00   -24.00  0.00    4478    0   269 11.27   -7.02   ?   5.41    4.74    ?
15.00   -25.00  0.00    2926    0   220 8.31    -6.59   ?   3.92    4.25    ?
15.00   -26.00  0.00    3471    0   221 6.64    -6.53   ?   3.00    3.57    ?
15.00   -27.00  0.00    3217    0   139 5.97    -5.77   ?   2.60    3.68    ?
15.00   -28.00  0.00    3246    0   105 5.62    -6.02   ?   2.33    3.12    ?
15.00   -29.00  0.00    2725    0   139 5.41    -5.56   ?   2.37    2.95    ?
15.00   -30.00  0.00    2231    0   119 5.42    -5.48   ?   2.28    2.65    ?
15.00   -31.00  0.00    2378    0   109 5.39    -5.67   ?   2.23    2.76    ?
15.00   -33.00  0.00    1962    0   99  5.44    -5.39   ?   2.18    2.14    ?
15.00   -35.00  0.00    2010    0   80  5.37    -4.92   ?   2.19    2.31    ?
15.00   -37.00  0.00    20  0   4980    5.82    0.04    ?   1.68    0.30    ?
15.00   -39.00  0.00    946 0   101 4.54    -5.29   ?   2.71    2.68    ?
