T(K) p(Pa) phi Tf(K) SL(m/s) Xf(m) maxXCH mpXCH intXCH maxSM mpSM intSM maxCM mpCM intCM
300 101325 5.000000e-01 1.568917e+03 3.482044e-01 3.958300e-04 2.476764e-09 2.157034e-09 4.749335e-13 5.493405e+11 5.071737e+11 1.055576e+08 1.667690e+11 1.539772e+11 3.204457e+07 
300 101325 5.500000e-01 1.667401e+03 4.858814e-01 3.333300e-04 6.940990e-09 6.504349e-09 1.152760e-12 1.434417e+12 1.303990e+12 2.398347e+08 4.355411e+11 3.959607e+11 7.282022e+07 
300 101325 6.000000e-01 1.758716e+03 6.338933e-01 2.968700e-04 1.589728e-08 1.466446e-08 2.357704e-12 3.079659e+12 2.814828e+12 4.614920e+08 9.352319e+11 8.548625e+11 1.401426e+08 
300 101325 6.500000e-01 1.848914e+03 7.934069e-01 2.812500e-04 3.281782e-08 2.906173e-08 4.460539e-12 5.972605e+12 5.663286e+12 8.138006e+08 1.814026e+12 1.720163e+12 2.471647e+08 
300 101325 7.000000e-01 1.935471e+03 9.624830e-01 2.447900e-04 6.106492e-08 5.826147e-08 7.650709e-12 1.049231e+13 9.804867e+12 1.328170e+09 3.187200e+12 2.978528e+12 4.034411e+08 
300 101325 7.500000e-01 2.022890e+03 1.136849e+00 2.291700e-04 1.089586e-07 1.058161e-07 1.277695e-11 1.761158e+13 1.686090e+13 2.092726e+09 5.350459e+12 5.122628e+12 6.357629e+08 
300 101325 8.000000e-01 2.103917e+03 1.306495e+00 2.083400e-04 1.797075e-07 1.772256e-07 1.990479e-11 2.754028e+13 2.684195e+13 3.092506e+09 8.367850e+12 8.155914e+12 9.396034e+08 
300 101325 8.500000e-01 2.181352e+03 1.474735e+00 2.083400e-04 2.848065e-07 2.727597e-07 3.059639e-11 4.133521e+13 3.930466e+13 4.499690e+09 1.256070e+13 1.194413e+13 1.367307e+09 
300 101325 9.000000e-01 2.246856e+03 1.622996e+00 2.083400e-04 4.212425e-07 3.898047e-07 4.415018e-11 5.808673e+13 5.734067e+13 6.095066e+09 1.765267e+13 1.742638e+13 1.852268e+09 
300 101325 9.500000e-01 2.302137e+03 1.760140e+00 2.109400e-04 5.979659e-07 5.457582e-07 6.171729e-11 7.896543e+13 7.701464e+13 8.142255e+09 2.400001e+13 2.340765e+13 2.474623e+09 
300 101325 1.000000e+00 2.344531e+03 1.891927e+00 1.901000e-04 8.212552e-07 8.041485e-07 8.253747e-11 1.039557e+14 1.003915e+14 1.059579e+10 3.159784e+13 3.051525e+13 3.220569e+09 
300 101325 1.050000e+00 2.369570e+03 2.005526e+00 1.875000e-04 1.100824e-06 1.082507e-06 1.099106e-10 1.338910e+14 1.294483e+14 1.354431e+10 4.069979e+13 3.935035e+13 4.117086e+09 
300 101325 1.100000e+00 2.371815e+03 2.106458e+00 2.031300e-04 1.449865e-06 1.324286e-06 1.464082e-10 1.692260e+14 1.645027e+14 1.703724e+10 5.144473e+13 5.000978e+13 5.179216e+09 
300 101325 1.150000e+00 2.362877e+03 2.197122e+00 2.005200e-04 1.845373e-06 1.732787e-06 1.867445e-10 2.076729e+14 1.913257e+14 2.128439e+10 6.313672e+13 5.816847e+13 6.470746e+09 
300 101325 1.200000e+00 2.344653e+03 2.272035e+00 1.953200e-04 2.321662e-06 2.219776e-06 2.359918e-10 2.519690e+14 2.368605e+14 2.597670e+10 7.660851e+13 7.201650e+13 7.897778e+09 
300 101325 1.250000e+00 2.319675e+03 2.329616e+00 2.109400e-04 2.857930e-06 2.549149e-06 2.984288e-10 2.996087e+14 2.874821e+14 3.122159e+10 9.109843e+13 8.741268e+13 9.492987e+09 
300 101325 1.300000e+00 2.297623e+03 2.375602e+00 2.083300e-04 3.451394e-06 3.205384e-06 3.659870e-10 3.502231e+14 3.187005e+14 3.760619e+10 1.064941e+14 9.691108e+13 1.143489e+10 
300 101325 1.350000e+00 2.277340e+03 2.408264e+00 2.239500e-04 4.096015e-06 3.525180e-06 4.478939e-10 4.031137e+14 3.764618e+14 4.404070e+10 1.225830e+14 1.144805e+14 1.339212e+10 
300 101325 1.400000e+00 2.251398e+03 2.423066e+00 2.213500e-04 4.793702e-06 4.349771e-06 5.370903e-10 4.576279e+14 4.070520e+14 5.188237e+10 1.391674e+14 1.237899e+14 1.577750e+10 
300 101325 1.450000e+00 2.229013e+03 2.426367e+00 2.161400e-04 5.505933e-06 5.148031e-06 6.324750e-10 5.108299e+14 4.742748e+14 5.950846e+10 1.553539e+14 1.442393e+14 1.809749e+10 
300 101325 1.500000e+00 2.207857e+03 2.417883e+00 2.552100e-04 6.218221e-06 4.976319e-06 7.565176e-10 5.617128e+14 5.348507e+14 6.706781e+10 1.708359e+14 1.626686e+14 2.039732e+10 
300 101325 1.550000e+00 2.182260e+03 2.394966e+00 2.526000e-04 6.889054e-06 5.931840e-06 8.695360e-10 6.063289e+14 5.095445e+14 7.719725e+10 1.844132e+14 1.549804e+14 2.347909e+10 
300 101325 1.600000e+00 2.161740e+03 2.361771e+00 2.500000e-04 7.531814e-06 6.871413e-06 9.894561e-10 6.465410e+14 5.773913e+14 8.573087e+10 1.966514e+14 1.756226e+14 2.607561e+10 
300 101325 1.650000e+00 2.136033e+03 2.296294e+00 2.864600e-04 8.058757e-06 6.462580e-06 1.136786e-09 6.738585e+14 5.323385e+14 9.580579e+10 2.049696e+14 1.619267e+14 2.914125e+10 
300 101325 1.700000e+00 2.113718e+03 2.238352e+00 3.229100e-04 8.479196e-06 5.888302e-06 1.276854e-09 6.935614e+14 5.866221e+14 1.030577e+11 2.109702e+14 1.784447e+14 3.134825e+10 
300 101325 1.750000e+00 2.090650e+03 2.161670e+00 3.229100e-04 8.758854e-06 6.903098e-06 1.396349e-09 6.992780e+14 5.277230e+14 1.118999e+11 2.127175e+14 1.605346e+14 3.403920e+10 
300 101325 1.800000e+00 2.069714e+03 2.084885e+00 3.593800e-04 8.880529e-06 6.313794e-06 1.525210e-09 6.934089e+14 4.817987e+14 1.195409e+11 2.109387e+14 1.465693e+14 3.636480e+10 



300 303975 5.000000e-01 1.573635e+03 1.934321e-01 1.620200e-04 9.797581e-10 8.382930e-10 7.636533e-14 1.887413e+11 1.730743e+11 1.459612e+07 5.747122e+10 5.270131e+10 4.444462e+06 
300 303975 5.500000e-01 1.662666e+03 2.847891e-01 1.270700e-04 3.143420e-09 2.997445e-09 2.067995e-13 5.630552e+11 5.249785e+11 3.724463e+07 1.714574e+11 1.598648e+11 1.134142e+07 
300 303975 6.000000e-01 1.738359e+03 3.778302e-01 1.207200e-04 7.424897e-09 6.581434e-09 4.418035e-13 1.251707e+12 1.195884e+12 7.368563e+07 3.811766e+11 3.641814e+11 2.243906e+07 
300 303975 6.500000e-01 1.833618e+03 5.091235e-01 1.080100e-04 1.831710e-08 1.676360e-08 9.732033e-13 2.875490e+12 2.705766e+12 1.526607e+08 8.757022e+11 8.240250e+11 4.649109e+07 
300 303975 7.000000e-01 1.927190e+03 6.473127e-01 9.689000e-05 3.993623e-08 3.623515e-08 1.928192e-12 5.862252e+12 5.590011e+12 2.834731e+08 1.785371e+12 1.702478e+12 8.633225e+07 
300 303975 7.500000e-01 2.013852e+03 7.943446e-01 9.372000e-05 7.708515e-08 6.908557e-08 3.480520e-12 1.063978e+13 9.957706e+12 4.807838e+08 3.240512e+12 3.032814e+12 1.464294e+08 
300 303975 8.000000e-01 2.097545e+03 9.425519e-01 8.737000e-05 1.382620e-07 1.217335e-07 5.886790e-12 1.800147e+13 1.698883e+13 7.687221e+08 5.482828e+12 5.174464e+12 2.341335e+08 
300 303975 8.500000e-01 2.173683e+03 1.092288e+00 8.259000e-05 2.311983e-07 2.106551e-07 9.403215e-12 2.854164e+13 2.723341e+13 1.160096e+09 8.693424e+12 8.295025e+12 3.533479e+08 
300 303975 9.000000e-01 2.245014e+03 1.236659e+00 6.989000e-05 3.659276e-07 3.613463e-07 1.407154e-11 4.290892e+13 4.221381e+13 1.678553e+09 1.306992e+13 1.285825e+13 5.112775e+08 
