T(K) p(Pa) phi Tf(K) SL(m/s) Xf(m) maxXCH mpXCH intXCH maxSM mpSM intSM maxCM mpCM intCM
300 101325 5.500000e-01 1.573854e+03 6.767904e-02 4.975600e-04 2.930473e-09 2.791847e-09 7.301107e-13 6.249362e+11 5.881420e+11 1.567988e+08 1.895761e+11 1.784160e+11 4.756432e+07 
300 101325 6.000000e-01 1.664386e+03 1.045119e-01 4.329400e-04 1.088287e-08 9.739002e-09 2.262710e-12 2.121214e+12 1.909443e+12 4.457444e+08 6.436296e+11 5.793810e+11 1.352466e+08 
300 101325 6.500000e-01 1.753047e+03 1.437962e-01 3.712600e-04 3.084556e-08 2.751901e-08 5.570257e-12 5.546119e+12 5.494052e+12 9.889742e+08 1.683176e+12 1.667387e+12 3.001330e+08 
300 101325 7.000000e-01 1.838348e+03 1.834973e-01 3.333300e-04 7.315873e-08 6.741763e-08 1.188649e-11 1.215174e+13 1.120038e+13 1.996807e+09 3.688576e+12 3.399858e+12 6.060989e+08 
300 101325 7.500000e-01 1.920340e+03 2.238592e-01 2.812500e-04 1.525053e-07 1.511235e-07 2.241085e-11 2.341233e+13 2.286484e+13 3.485281e+09 7.107834e+12 6.941727e+12 1.058079e+09 
300 101325 8.000000e-01 1.999299e+03 2.607026e-01 2.552100e-04 2.901619e-07 2.888315e-07 3.965288e-11 4.137440e+13 4.121991e+13 5.770347e+09 1.256296e+13 1.251609e+13 1.752051e+09 
300 101325 8.500000e-01 2.071047e+03 2.936660e-01 2.656200e-04 5.067797e-07 4.845764e-07 6.726414e-11 6.736886e+13 6.479051e+13 9.124284e+09 2.045875e+13 1.967600e+13 2.770787e+09 
300 101325 9.000000e-01 2.136608e+03 3.206957e-01 2.500000e-04 8.296731e-07 8.076270e-07 1.063810e-10 1.031188e+14 1.008798e+14 1.352149e+10 3.131924e+13 3.063953e+13 4.106607e+09 
300 101325 9.500000e-01 2.191956e+03 3.428362e-01 2.343800e-04 1.286366e-06 1.282313e-06 1.605915e-10 1.498388e+14 1.495553e+14 1.918133e+10 4.551423e+13 4.542825e+13 5.826227e+09 
300 101325 1.000000e+00 2.229284e+03 3.562527e-01 2.343800e-04 1.876615e-06 1.874425e-06 2.349111e-10 2.054427e+14 2.054427e+14 2.634479e+10 6.241115e+13 6.241114e+13 8.002967e+09 
300 101325 1.050000e+00 2.239761e+03 3.653451e-01 2.447900e-04 2.603962e-06 2.563899e-06 3.347844e-10 2.690040e+14 2.659461e+14 3.544252e+10 8.172855e+13 8.080011e+13 1.076779e+10 
300 101325 1.100000e+00 2.220374e+03 3.621142e-01 2.552100e-04 3.394769e-06 3.351151e-06 4.546214e-10 3.317561e+14 3.286895e+14 4.551691e+10 1.008036e+14 9.987247e+13 1.382986e+10 
300 101325 1.150000e+00 2.180421e+03 3.421254e-01 2.812500e-04 4.013587e-06 3.948133e-06 5.904826e-10 3.741553e+14 3.694091e+14 5.606176e+10 1.136972e+14 1.122557e+14 1.703546e+10 
300 101325 1.200000e+00 2.140221e+03 3.127200e-01 3.020900e-04 4.294885e-06 4.270481e-06 7.019128e-10 3.803213e+14 3.783537e+14 6.346723e+10 1.155819e+14 1.149840e+14 1.928759e+10 
