T(K) p(Pa) phi Tf(K) SL(m/s) Xf(m) maxXCH mpXCH intXCH maxSM mpSM intSM maxCM mpCM intCM
300 101325 5.000000e-01 1.482755e+03 3.993602e-02 6.525900e-04 5.502901e-10 4.971297e-10 1.742438e-13 1.314026e+11 1.169964e+11 4.173687e+07 3.984858e+10 3.548013e+10 1.265675e+07 
300 101325 5.500000e-01 1.577890e+03 7.229371e-02 4.804700e-04 3.127580e-09 2.910080e-09 7.576020e-13 6.757227e+11 6.307176e+11 1.650787e+08 2.049737e+11 1.913238e+11 5.007388e+07 
300 101325 6.000000e-01 1.670700e+03 1.097557e-01 4.054400e-04 1.149501e-08 1.064282e-08 2.320899e-12 2.273127e+12 2.111522e+12 4.627358e+08 6.896949e+11 6.406717e+11 1.403964e+08 
300 101325 6.500000e-01 1.759329e+03 1.494888e-01 3.437500e-04 3.210350e-08 3.106439e-08 5.610024e-12 5.812579e+12 5.538230e+12 1.027424e+09 1.763971e+12 1.680744e+12 3.117899e+08 
300 101325 7.000000e-01 1.844880e+03 1.897317e-01 3.229200e-04 7.514472e-08 7.020302e-08 1.193775e-11 1.259195e+13 1.184005e+13 2.027674e+09 3.822076e+12 3.593905e+12 6.154466e+08 
300 101325 7.500000e-01 1.928468e+03 2.309456e-01 2.812500e-04 1.569630e-07 1.490834e-07 2.274560e-11 2.430207e+13 2.326909e+13 3.583470e+09 7.377776e+12 7.064277e+12 1.087856e+09 
300 101325 8.000000e-01 2.006971e+03 2.670235e-01 2.604100e-04 2.956463e-07 2.905347e-07 4.005978e-11 4.251635e+13 4.192661e+13 5.880029e+09 1.290927e+13 1.273036e+13 1.785300e+09 
300 101325 8.500000e-01 2.078822e+03 2.996322e-01 2.708300e-04 5.137039e-07 4.798440e-07 6.750144e-11 6.880972e+13 6.811051e+13 9.140316e+09 2.089560e+13 2.068353e+13 2.775573e+09 
300 101325 9.000000e-01 2.144274e+03 3.270367e-01 2.343800e-04 8.385800e-07 8.346863e-07 1.049885e-10 1.051347e+14 1.047736e+14 1.347719e+10 3.193065e+13 3.182109e+13 4.093034e+09 
300 101325 9.500000e-01 2.199070e+03 3.479451e-01 2.395900e-04 1.293932e-06 1.286623e-06 1.608383e-10 1.519597e+14 1.504478e+14 1.931833e+10 4.615724e+13 4.569841e+13 5.867688e+09 
300 101325 1.000000e+00 2.235347e+03 3.616906e-01 2.343800e-04 1.886730e-06 1.872346e-06 2.348100e-10 2.083605e+14 2.073669e+14 2.659503e+10 6.329593e+13 6.299427e+13 8.078775e+09 
300 101325 1.050000e+00 2.244566e+03 3.679479e-01 2.500000e-04 2.620561e-06 2.563505e-06 3.358055e-10 2.728403e+14 2.683733e+14 3.582172e+10 8.289188e+13 8.153558e+13 1.088271e+10 
300 101325 1.100000e+00 2.223789e+03 3.647204e-01 2.604100e-04 3.420567e-06 3.352058e-06 4.566622e-10 3.369046e+14 3.318014e+14 4.606185e+10 1.023654e+14 1.008157e+14 1.399508e+10 
300 101325 1.150000e+00 2.186239e+03 3.486073e-01 2.864600e-04 4.094096e-06 3.952470e-06 5.959089e-10 3.820685e+14 3.716602e+14 5.695037e+10 1.160990e+14 1.129376e+14 1.730510e+10 
300 101325 1.200000e+00 2.146325e+03 3.194830e-01 3.073000e-04 4.425992e-06 4.351501e-06 7.179094e-10 3.949931e+14 3.895104e+14 6.541490e+10 1.200380e+14 1.183724e+14 1.987904e+10 
300 101325 1.250000e+00 2.101672e+03 2.738243e-01 4.025100e-04 3.985447e-06 3.543820e-06 7.971258e-10 3.427045e+14 3.056727e+14 6.949537e+10 1.041569e+14 9.290311e+13 2.112109e+10 
300 101325 1.300000e+00 2.062207e+03 2.241625e-01 5.058600e-04 2.892219e-06 2.600304e-06 7.515006e-10 2.406912e+14 2.158919e+14 6.323028e+10 7.315861e+13 6.562158e+13 1.921871e+10 
300 101325 1.350000e+00 2.023201e+03 1.735522e-01 8.300800e-04 1.521153e-06 9.980341e-07 5.807181e-10 1.249703e+14 8.059169e+13 4.781229e+10 3.798731e+13 2.449798e+13 1.453342e+10 
300 101325 1.400000e+00 1.985161e+03 1.367308e-01 1.143880e-03 6.188148e-07 3.465372e-07 3.202499e-10 5.095835e+13 2.818066e+13 2.637077e+10 1.549067e+13 8.566747e+12 8.016320e+09 
300 101325 1.450000e+00 1.949572e+03 1.165039e-01 1.478520e-03 2.897195e-07 1.239999e-07 1.743111e-10 2.417600e+13 1.388674e+13 1.420792e+10 7.349467e+12 4.221662e+12 4.319168e+09 
300 101325 1.500000e+00 1.913212e+03 1.011497e-01 1.619800e-03 1.466846e-07 6.493797e-08 9.751098e-11 1.245480e+13 5.267263e+12 8.238159e+09 3.786333e+12 1.601333e+12 2.504444e+09 
300 101325 1.550000e+00 1.878564e+03 8.983518e-02 1.761060e-03 7.938334e-08 3.600522e-08 5.792236e-11 6.848309e+12 3.010613e+12 4.977450e+09 2.081977e+12 9.152991e+11 1.513208e+09 
300 101325 1.600000e+00 1.847106e+03 8.020356e-02 2.078610e-03 4.502377e-08 1.625169e-08 3.637853e-11 3.953634e+12 1.758402e+12 3.135533e+09 1.201977e+12 5.346073e+11 9.532588e+08 
300 101325 1.650000e+00 1.820357e+03 7.268037e-02 2.223630e-03 2.702107e-08 1.035698e-08 2.370571e-11 2.411479e+12 8.889724e+11 2.102164e+09 7.331454e+11 2.702801e+11 6.391072e+08 
300 101325 1.700000e+00 1.796171e+03 6.654950e-02 2.537840e-03 1.698364e-08 5.505956e-09 1.629570e-11 1.539351e+12 7.436575e+11 1.430359e+09 4.680048e+11 2.261020e+11 4.348691e+08 
300 101325 1.750000e+00 1.772278e+03 6.088776e-02 2.852050e-03 1.062879e-08 3.099486e-09 1.111418e-11 9.774385e+11 4.050234e+11 9.933747e+08 2.971713e+11 1.231458e+11 3.020182e+08 
300 101325 1.800000e+00 1.740008e+03 5.580565e-02 2.803710e-03 6.837114e-09 2.660585e-09 7.613892e-12 6.374991e+11 2.318226e+11 7.036879e+08 1.938223e+11 7.048583e+10 2.139468e+08 



300 303975 5.000000e-01 1.482635e+03 1.668843e-02 3.397200e-04 7.047191e-11 6.827756e-11 1.164367e-14 1.622167e+10 1.563670e+10 2.688050e+06 4.937493e+09 4.759445e+09 8.181766e+05 
300 303975 5.500000e-01 1.578733e+03 3.396787e-02 2.244500e-04 7.428956e-10 7.204334e-10 8.414355e-14 1.520606e+11 1.466005e+11 1.732092e+07 4.628798e+10 4.462595e+10 5.272550e+06 
300 303975 6.000000e-01 1.670111e+03 5.806767e-02 1.871600e-04 3.923496e-09 3.526826e-09 3.492118e-13 7.287763e+11 6.890636e+11 6.453640e+07 2.218608e+11 2.097717e+11 1.964667e+07 
300 303975 6.500000e-01 1.759535e+03 8.538843e-02 1.524900e-04 1.391478e-08 1.277075e-08 1.033948e-12 2.362435e+12 2.170716e+12 1.769149e+08 7.192433e+11 6.608769e+11 5.386140e+07 
300 303975 7.000000e-01 1.845644e+03 1.146707e-01 1.302500e-04 3.782901e-08 3.537777e-08 2.465310e-12 5.919868e+12 5.541887e+12 3.885524e+08 1.802416e+12 1.687340e+12 1.183014e+08 
300 303975 7.500000e-01 1.928623e+03 1.430551e-01 1.143600e-04 8.639643e-08 8.492430e-08 5.083706e-12 1.249858e+13 1.209237e+13 7.401358e+08 3.805639e+12 3.681970e+12 2.253593e+08 
300 303975 8.000000e-01 2.008045e+03 1.692872e-01 1.111900e-04 1.734793e-07 1.598217e-07 9.587333e-12 2.328417e+13 2.153425e+13 1.301134e+09 7.090046e+12 6.557233e+12 3.961937e+08 
