X(mm)  p(Pa)  T(K)  X_N2_  X_H_  X_O2_  X_OH_  X_H2_  X_H2O_  X_CO_  X_CO2_  X_CH4_  X_CH2O_  X_C2H6_  X_CH_  X_C3H8_
0.000000e+00  1.013250e+05  5.000000e+02  7.149321e-01  3.224856e-21  1.900452e-01  4.197077e-17  3.784350e-08  8.619290e-11  4.437643e-12  1.615689e-13  9.502262e-02  2.563710e-13  2.476600e-14  2.861551e-42  4.191549e-17
2.465000e+01  1.013250e+05  5.000001e+02  7.149291e-01  2.263990e-19  1.900444e-01  1.158051e-14  4.301526e-06  3.054357e-08  1.875026e-09  8.650176e-11  9.502218e-02  1.341528e-10  1.427628e-11  7.227252e-40  3.014703e-14
4.831400e+01  1.013250e+05  5.000493e+02  7.146004e-01  9.265868e-15  1.899561e-01  4.215189e-12  4.601977e-04  1.016022e-05  7.452249e-07  4.355882e-08  9.497217e-02  3.437226e-08  7.739068e-09  1.139612e-32  2.039155e-11
4.880700e+01  1.013250e+05  5.002423e+02  7.142068e-01  1.537523e-13  1.898455e-01  2.457315e-11  9.937234e-04  4.680746e-05  3.957501e-06  2.814509e-07  9.490246e-02  9.692056e-08  5.199447e-08  3.543064e-30  1.699903e-10
4.930000e+01  1.013250e+05  5.019374e+02  7.128692e-01  5.988978e-12  1.894278e-01  2.873607e-10  2.725373e-03  3.415627e-04  3.416952e-05  3.053421e-06  9.459499e-02  7.816208e-07  6.023465e-07  9.363253e-27  2.460799e-09
4.941667e+01  1.013250e+05  5.042490e+02  7.120493e-01  3.687856e-11  1.891148e-01  9.855493e-10  3.701849e-03  7.139776e-04  7.837647e-05  8.017884e-06  9.432436e-02  1.931438e-06  1.638965e-06  4.218377e-25  7.787871e-09
4.953333e+01  1.013250e+05  5.107227e+02  7.106798e-01  3.048647e-10  1.884620e-01  4.723517e-09  5.187043e-03  1.697699e-03  2.094916e-04  2.534768e-05  9.371140e-02  5.802927e-06  5.427320e-06  4.190825e-23  3.095066e-08
4.959167e+01  1.013250e+05  5.182463e+02  7.096229e-01  1.597093e-09  1.878201e-01  1.304638e-08  6.213407e-03  2.784867e-03  3.704674e-04  4.998818e-05  9.308700e-02  1.107987e-05  1.100940e-05  1.074634e-21  7.125158e-08
4.965000e+01  1.013250e+05  5.322133e+02  7.081641e-01  1.010676e-08  1.867196e-01  3.950526e-08  7.489351e-03  4.722484e-03  6.840333e-04  1.042211e-04  9.201461e-02  2.227122e-05  2.366271e-05  4.000483e-20  1.767391e-07
4.967917e+01  1.013250e+05  5.435428e+02  7.072220e-01  3.525169e-08  1.858592e-01  7.741957e-08  8.238153e-03  6.241135e-03  9.495337e-04  1.551640e-04  9.118763e-02  3.236467e-05  3.578416e-05  4.177099e-19  2.919954e-07
4.969375e+01  1.013250e+05  5.509208e+02  7.066822e-01  6.782054e-08  1.853049e-01  1.127915e-07  8.643324e-03  7.209296e-03  1.127273e-03  1.915839e-04  9.066246e-02  3.939022e-05  4.455592e-05  1.494910e-18  3.831046e-07
4.970833e+01  1.013250e+05  5.597481e+02  7.060911e-01  1.262705e-07  1.846438e-01  1.667816e-07  9.069566e-03  8.350005e-03  1.344348e-03  2.382362e-04  9.004396e-02  4.821421e-05  5.589228e-05  5.295202e-18  5.088762e-07
4.972292e+01  1.013250e+05  5.702644e+02  7.054455e-01  2.316002e-07  1.838566e-01  2.502762e-07  9.516931e-03  9.688342e-03  1.608468e-03  2.977310e-04  8.931740e-02  5.923282e-05  7.045894e-05  1.886691e-17  6.815973e-07
4.973750e+01  1.013250e+05  5.827322e+02  7.047427e-01  4.191911e-07  1.829214e-01  3.799598e-07  9.985239e-03  1.125104e-02  1.928453e-03  3.732214e-04  8.846657e-02  7.289972e-05  8.905091e-05  6.702798e-17  9.173797e-07
4.974479e+01  1.013250e+05  5.898125e+02  7.043689e-01  5.659407e-07  1.823884e-01  4.715846e-07  1.022723e-02  1.212799e-02  2.113325e-03  4.184322e-04  8.798752e-02  8.092669e-05  1.002190e-04  1.282645e-16  1.066960e-06
4.975208e+01  1.013250e+05  5.975187e+02  7.039799e-01  7.589332e-07  1.818065e-01  5.858853e-07  1.047434e-02  1.307466e-02  2.317014e-03  4.695022e-04  8.746888e-02  8.986952e-05  1.128584e-04  2.433459e-16  1.242918e-06
4.975937e+01  1.013250e+05  6.058921e+02  7.035756e-01  1.011645e-06  1.811719e-01  7.279836e-07  1.072646e-02  1.409490e-02  2.541095e-03  5.270862e-04  8.690807e-02  9.980877e-05  1.271270e-04  4.583124e-16  1.449421e-06
4.976667e+01  1.013250e+05  6.149741e+02  7.031561e-01  1.340759e-06  1.804805e-01  9.038965e-07  1.098346e-02  1.519254e-02  2.787217e-03  5.918913e-04  8.630245e-02  1.108273e-04  1.431912e-04  8.563368e-16  1.691163e-06
