T(K) p(Pa) phi Tf(K) SL(m/s) Xf(m) maxXCH mpXCH intXCH maxSM mpSM intSM maxCM mpCM intCM
300 101325 5.000000e-01 1.689932e+03 1.838001e-01 4.687500e-04 2.512586e-10 2.392936e-10 6.038614e-14 8.035488e+10 7.588412e+10 1.929836e+07 2.435481e+10 2.299826e+10 5.848999e+06 
300 101325 5.500000e-01 1.786807e+03 2.329820e-01 4.062500e-04 5.604027e-10 5.429002e-10 1.197401e-13 1.662497e+11 1.601343e+11 3.556300e+07 5.040664e+10 4.855002e+10 1.078240e+07 
300 101325 6.000000e-01 1.886018e+03 2.873896e-01 3.750000e-04 1.207025e-09 1.141400e-09 2.330837e-13 3.312659e+11 3.134509e+11 6.414780e+07 1.004744e+11 9.506511e+10 1.945582e+07 
300 101325 6.500000e-01 1.979438e+03 3.460034e-01 3.489600e-04 2.293616e-09 2.200223e-09 4.069098e-13 5.844920e+11 5.580158e+11 1.041015e+08 1.773350e+11 1.692909e+11 3.158328e+07 
300 101325 7.000000e-01 2.063568e+03 4.029991e-01 3.125000e-04 3.999765e-09 3.921694e-09 6.575206e-13 9.543827e+11 9.320168e+11 1.577862e+08 2.896340e+11 2.828335e+11 4.788309e+07 
300 101325 7.500000e-01 2.138359e+03 4.570532e-01 3.177000e-04 6.481319e-09 6.048884e-09 1.016303e-12 1.455904e+12 1.351906e+12 2.294678e+08 4.419296e+11 4.103330e+11 6.965125e+07 
300 101325 8.000000e-01 2.199847e+03 5.081716e-01 2.812500e-04 9.747699e-09 9.636920e-09 1.439861e-12 2.077242e+12 2.031195e+12 3.086750e+08 6.306507e+11 6.166465e+11 9.371096e+07 
300 101325 8.500000e-01 2.251839e+03 5.594557e-01 2.812500e-04 1.433905e-08 1.382624e-08 2.049820e-12 2.901049e+12 2.751235e+12 4.169356e+08 8.809062e+11 8.353688e+11 1.265992e+08 
300 101325 9.000000e-01 2.294759e+03 6.085111e-01 2.812500e-04 2.041780e-08 1.921607e-08 2.823325e-12 3.936559e+12 3.630305e+12 5.470815e+08 1.195525e+12 1.102438e+12 1.661420e+08 
300 101325 9.500000e-01 2.330570e+03 6.532335e-01 2.552000e-04 2.785347e-08 2.694310e-08 3.695646e-12 5.140355e+12 4.967599e+12 6.885098e+08 1.561307e+12 1.508776e+12 2.091196e+08 
300 101325 1.000000e+00 2.350020e+03 6.990679e-01 2.552000e-04 3.744347e-08 3.609020e-08 4.858857e-12 6.621365e+12 6.294512e+12 8.653187e+08 2.011385e+12 1.912008e+12 2.628534e+08 
300 101325 1.050000e+00 2.368571e+03 7.411331e-01 2.500000e-04 4.939656e-08 4.714656e-08 6.265928e-12 8.389941e+12 8.007360e+12 1.074399e+09 2.548919e+12 2.432577e+12 3.264009e+08 
300 101325 1.100000e+00 2.378416e+03 7.801343e-01 2.447900e-04 6.375288e-08 6.051859e-08 7.941732e-12 1.042492e+13 9.901660e+12 1.311341e+09 3.167495e+12 3.008352e+12 3.984237e+08 
300 101325 1.150000e+00 2.381429e+03 8.181824e-01 2.395800e-04 8.117340e-08 7.715401e-08 9.924694e-12 1.280174e+13 1.218093e+13 1.581260e+09 3.889999e+12 3.701195e+12 4.804776e+08 
300 101325 1.200000e+00 2.380690e+03 8.492510e-01 2.343700e-04 1.006452e-07 9.612794e-08 1.212095e-11 1.536301e+13 1.469321e+13 1.869943e+09 4.668634e+12 4.464928e+12 5.682420e+08 
300 101325 1.250000e+00 2.368920e+03 8.791515e-01 2.291600e-04 1.242425e-07 1.200331e-07 1.478306e-11 1.836069e+13 1.776306e+13 2.208727e+09 5.580009e+12 5.398232e+12 6.712450e+08 
300 101325 1.300000e+00 2.357174e+03 9.106329e-01 2.447900e-04 1.512858e-07 1.374365e-07 1.801950e-11 2.167112e+13 2.091427e+13 2.571800e+09 6.586549e+12 6.356345e+12 7.816413e+08 
300 101325 1.350000e+00 2.339906e+03 9.369661e-01 2.395900e-04 1.828405e-07 1.693825e-07 2.159588e-11 2.541861e+13 2.310743e+13 3.026735e+09 7.726143e+12 7.023224e+12 9.199678e+08 
300 101325 1.400000e+00 2.321855e+03 9.602498e-01 2.343800e-04 2.188229e-07 2.060710e-07 2.564847e-11 2.956811e+13 2.744555e+13 3.496236e+09 8.987958e+12 8.342320e+12 1.062738e+09 
300 101325 1.450000e+00 2.298910e+03 9.809993e-01 2.291700e-04 2.595075e-07 2.485009e-07 3.022410e-11 3.412282e+13 3.220025e+13 4.011970e+09 1.037307e+13 9.788186e+12 1.219576e+09 
300 101325 1.500000e+00 2.278224e+03 1.000742e+00 2.239600e-04 3.048053e-07 2.951910e-07 3.530190e-11 3.904605e+13 3.743642e+13 4.568557e+09 1.187032e+13 1.138056e+13 1.388847e+09 
300 101325 1.550000e+00 2.255489e+03 1.015969e+00 2.395800e-04 3.552129e-07 3.251203e-07 4.158759e-11 4.438351e+13 4.300991e+13 5.176103e+09 1.349361e+13 1.307562e+13 1.573623e+09 
300 101325 1.600000e+00 2.228275e+03 1.027285e+00 2.343700e-04 4.100588e-07 3.816582e-07 4.802512e-11 5.003195e+13 4.589277e+13 5.912789e+09 1.521157e+13 1.395245e+13 1.797669e+09 
300 101325 1.650000e+00 2.205770e+03 1.037601e+00 2.291700e-04 4.712515e-07 4.458495e-07 5.520146e-11 5.618650e+13 5.235617e+13 6.644670e+09 1.708352e+13 1.591828e+13 2.020275e+09 
300 101325 1.700000e+00 2.183257e+03 1.046359e+00 2.447900e-04 5.364203e-07 4.723076e-07 6.373597e-11 6.257400e+13 5.921898e+13 7.414953e+09 1.902640e+13 1.800568e+13 2.254572e+09 
300 101325 1.750000e+00 2.160430e+03 1.051365e+00 2.395800e-04 6.084617e-07 5.475527e-07 7.264332e-11 6.947485e+13 6.290976e+13 8.386160e+09 2.112550e+13 1.912843e+13 2.549975e+09 
300 101325 1.800000e+00 2.138654e+03 1.052888e+00 2.395800e-04 6.853952e-07 6.415969e-07 8.258315e-11 7.666420e+13 7.063785e+13 9.319546e+09 2.331245e+13 2.147917e+13 2.833898e+09 



300 303975 5.000000e-01 1.689694e+03 1.129311e-01 1.906100e-04 1.329106e-10 1.194456e-10 1.271431e-14 3.834598e+10 3.381497e+10 3.658685e+06 1.166863e+10 1.028967e+10 1.113331e+06 
300 303975 5.500000e-01 1.792311e+03 1.558145e-01 1.461400e-04 3.612956e-10 3.572175e-10 2.929724e-14 9.589825e+10 9.380104e+10 7.758078e+06 2.918564e+10 2.854707e+10 2.361081e+06 
300 303975 6.000000e-01 1.890618e+03 1.975920e-01 1.334200e-04 8.401275e-10 8.312917e-10 6.073701e-14 2.058691e+11 1.997730e+11 1.483536e+07 6.266095e+10 6.080485e+10 4.515473e+06 
300 303975 6.500000e-01 1.983375e+03 2.425819e-01 1.270800e-04 1.700818e-09 1.648953e-09 1.130853e-13 3.873396e+11 3.644340e+11 2.564528e+07 1.179075e+11 1.109331e+11 7.806480e+06 
300 303975 7.000000e-01 2.068230e+03 2.855343e-01 1.175400e-04 3.011213e-09 2.889851e-09 1.860790e-13 6.433381e+11 6.113621e+11 3.977343e+07 1.958508e+11 1.861129e+11 1.210811e+07 
