T(K) p(Pa) phi Tf(K) SL(m/s) Xf(m) maxXCH mpXCH intXCH maxSM mpSM intSM maxCM mpCM intCM
300 101325 5.000000e-01 1.481590e+03 4.086836e-02 6.284200e-04 5.548806e-10 5.193470e-10 1.757357e-13 1.321964e+11 1.222454e+11 4.203100e+07 4.009022e+10 3.707275e+10 1.274623e+07 
300 101325 5.500000e-01 1.576594e+03 7.348575e-02 4.908900e-04 3.133413e-09 2.896243e-09 7.669542e-13 6.770384e+11 6.268534e+11 1.667813e+08 2.053768e+11 1.901558e+11 5.059138e+07 
300 101325 6.000000e-01 1.668116e+03 1.110294e-01 4.054400e-04 1.141007e-08 1.053893e-08 2.316673e-12 2.250063e+12 2.085623e+12 4.610283e+08 6.827115e+11 6.328267e+11 1.398812e+08 
300 101325 6.500000e-01 1.756860e+03 1.508878e-01 3.437500e-04 3.194554e-08 3.096083e-08 5.613479e-12 5.767016e+12 5.507593e+12 1.025594e+09 1.750178e+12 1.671479e+12 3.112409e+08 
300 101325 7.000000e-01 1.842232e+03 1.911519e-01 3.229200e-04 7.476662e-08 7.032231e-08 1.194859e-11 1.251094e+13 1.182508e+13 2.024735e+09 3.797550e+12 3.589423e+12 6.145655e+08 
300 101325 7.500000e-01 1.925381e+03 2.313233e-01 2.812500e-04 1.560771e-07 1.489432e-07 2.271431e-11 2.411336e+13 2.319081e+13 3.571986e+09 7.320585e+12 7.040610e+12 1.084385e+09 
300 101325 8.000000e-01 2.003926e+03 2.675513e-01 2.604100e-04 2.944323e-07 2.904633e-07 4.005409e-11 4.223737e+13 4.180298e+13 5.866954e+09 1.282473e+13 1.269299e+13 1.781356e+09 
300 101325 8.500000e-01 2.075515e+03 2.994209e-01 2.708300e-04 5.118933e-07 4.818992e-07 6.759783e-11 6.853488e+13 6.797028e+13 9.132701e+09 2.081252e+13 2.064118e+13 2.773295e+09 
300 101325 9.000000e-01 2.141307e+03 3.265106e-01 2.343800e-04 8.362745e-07 8.332591e-07 1.050059e-10 1.046404e+14 1.043822e+14 1.346022e+10 3.178084e+13 3.170253e+13 4.087927e+09 
300 101325 9.500000e-01 2.195551e+03 3.491342e-01 2.343800e-04 1.292502e-06 1.277492e-06 1.607508e-10 1.514471e+14 1.502572e+14 1.931826e+10 4.600208e+13 4.564108e+13 5.867742e+09 
300 101325 1.000000e+00 2.233071e+03 3.631607e-01 2.343800e-04 1.883420e-06 1.872753e-06 2.351618e-10 2.078258e+14 2.069616e+14 2.659101e+10 6.313423e+13 6.287185e+13 8.077655e+09 
300 101325 1.050000e+00 2.242007e+03 3.701316e-01 2.500000e-04 2.616240e-06 2.565397e-06 3.361499e-10 2.718849e+14 2.680223e+14 3.580624e+10 8.260255e+13 8.142987e+13 1.087813e+10 
300 101325 1.100000e+00 2.221231e+03 3.670094e-01 2.604100e-04 3.409018e-06 3.348559e-06 4.563549e-10 3.352972e+14 3.309342e+14 4.598635e+10 1.018781e+14 1.005533e+14 1.397229e+10 
300 101325 1.150000e+00 2.182943e+03 3.501266e-01 2.864600e-04 4.066468e-06 3.936526e-06 5.935515e-10 3.802237e+14 3.699048e+14 5.671740e+10 1.155399e+14 1.124052e+14 1.723446e+10 
300 101325 1.200000e+00 2.143556e+03 3.224662e-01 3.073000e-04 4.396072e-06 4.328529e-06 7.151008e-10 3.922592e+14 3.871422e+14 6.513347e+10 1.192084e+14 1.176538e+14 1.979371e+10 
300 101325 1.250000e+00 2.099275e+03 2.778103e-01 4.025100e-04 3.959275e-06 3.520538e-06 7.935429e-10 3.402716e+14 3.034558e+14 6.915607e+10 1.034184e+14 9.223024e+13 2.101817e+10 
300 101325 1.300000e+00 2.059809e+03 2.285597e-01 5.058600e-04 2.867951e-06 2.578249e-06 7.484575e-10 2.383445e+14 2.137116e+14 6.289114e+10 7.244617e+13 6.495962e+13 1.911585e+10 
300 101325 1.350000e+00 2.020943e+03 1.780870e-01 8.300800e-04 1.493931e-06 9.860457e-07 5.755727e-10 1.224280e+14 7.936990e+13 4.726020e+10 3.721509e+13 2.412694e+13 1.436582e+10 
300 101325 1.400000e+00 1.982589e+03 1.402179e-01 1.154300e-03 6.062126e-07 3.453953e-07 3.153417e-10 4.988354e+13 2.757886e+13 2.593394e+10 1.516409e+13 8.383875e+12 7.883602e+09 
300 101325 1.450000e+00 1.946394e+03 1.197041e-01 1.295580e-03 2.826144e-07 1.675968e-07 1.671656e-10 2.356634e+13 1.349964e+13 1.390509e+10 7.164198e+12 4.104016e+12 4.227147e+09 
300 101325 1.500000e+00 1.911003e+03 1.042238e-01 1.630210e-03 1.433908e-07 6.409717e-08 9.576061e-11 1.215946e+13 5.282861e+12 8.097474e+09 3.696582e+12 1.606088e+12 2.461695e+09 
300 101325 1.550000e+00 1.879224e+03 9.357979e-02 1.771480e-03 7.964905e-08 3.575020e-08 5.826424e-11 6.835326e+12 2.978934e+12 4.993912e+09 2.078057e+12 9.056779e+11 1.518230e+09 
300 101325 1.600000e+00 1.845390e+03 8.292094e-02 2.102780e-03 4.328430e-08 1.601375e-08 3.524599e-11 3.795102e+12 1.743878e+12 3.039346e+09 1.153794e+12 5.301965e+11 9.240255e+08 
300 101325 1.650000e+00 1.819186e+03 7.563157e-02 2.247800e-03 2.633520e-08 1.030383e-08 2.326591e-11 2.344655e+12 8.830382e+11 2.062036e+09 7.128376e+11 2.684783e+11 6.269133e+08 
300 101325 1.700000e+00 1.793755e+03 6.900823e-02 2.562010e-03 1.610392e-08 5.378295e-09 1.561869e-11 1.456737e+12 7.034858e+11 1.368631e+09 4.428945e+11 2.138909e+11 4.161076e+08 
300 101325 1.750000e+00 1.771091e+03 6.305068e-02 2.900390e-03 1.021958e-08 3.101010e-09 1.081365e-11 9.408929e+11 3.871753e+11 9.639989e+08 2.860634e+11 1.177202e+11 2.930897e+08 
300 101325 1.800000e+00 1.738944e+03 5.784313e-02 2.803710e-03 6.561068e-09 2.537665e-09 7.369072e-12 6.107343e+11 2.306932e+11 6.830486e+08 1.856855e+11 7.014301e+10 2.076735e+08 



300 303975 5.000000e-01 1.480866e+03 1.705055e-02 3.518500e-04 6.905410e-11 6.408842e-11 1.156545e-14 1.587451e+10 1.578553e+10 2.650961e+06 4.831862e+09 4.804782e+09 8.068938e+05 
300 303975 5.500000e-01 1.576741e+03 3.496374e-02 2.365800e-04 7.380616e-10 7.028644e-10 8.474965e-14 1.511348e+11 1.425118e+11 1.741770e+07 4.600649e+10 4.338169e+10 5.302047e+06 
300 303975 6.000000e-01 1.668031e+03 5.952988e-02 1.813800e-04 3.911648e-09 3.707847e-09 3.484730e-13 7.243335e+11 6.779042e+11 6.489620e+07 2.205099e+11 2.063760e+11 1.975634e+07 
300 303975 6.500000e-01 1.757510e+03 8.736646e-02 1.556700e-04 1.388208e-08 1.261900e-08 1.040129e-12 2.356383e+12 2.144963e+12 1.776907e+08 7.174055e+11 6.530410e+11 5.409796e+07 
300 303975 7.000000e-01 1.843394e+03 1.167015e-01 1.334200e-04 3.778534e-08 3.554601e-08 2.477760e-12 5.889708e+12 5.542735e+12 3.900055e+08 1.793245e+12 1.687608e+12 1.187445e+08 
300 303975 7.500000e-01 1.925975e+03 1.453704e-01 1.143600e-04 8.598479e-08 8.411680e-08 5.084874e-12 1.242108e+13 1.211561e+13 7.417024e+08 3.782065e+12 3.689063e+12 2.258376e+08 
300 303975 8.000000e-01 2.005229e+03 1.718177e-01 1.143700e-04 1.725377e-07 1.629060e-07 9.617569e-12 2.314826e+13 2.129920e+13 1.299071e+09 7.048699e+12 6.485696e+12 3.955678e+08 
300 303975 8.500000e-01 2.079334e+03 1.955160e-01 1.080100e-04 3.131749e-07 2.941120e-07 1.661597e-11 3.917990e+13 3.673911e+13 2.102004e+09 1.193091e+13 1.118771e+13 6.400895e+08 
300 303975 9.000000e-01 2.148107e+03 2.144358e-01 9.848000e-05 5.270027e-07 5.078726e-07 2.688638e-11 6.153165e+13 5.960688e+13 3.187688e+09 1.873814e+13 1.815208e+13 9.707357e+08 
300 303975 9.500000e-01 2.208457e+03 2.299211e-01 1.016600e-04 8.287786e-07 7.852927e-07 4.208004e-11 9.060124e+13 8.601540e+13 4.676979e+09 2.759174e+13 2.619531e+13 1.424320e+09 
300 303975 1.000000e+00 2.251845e+03 2.387970e-01 1.016600e-04 1.220317e-06 1.164065e-06 6.252853e-11 1.254419e+14 1.198723e+14 6.538559e+09 3.820362e+13 3.650748e+13 1.991317e+09 
300 303975 1.050000e+00 2.257153e+03 2.407984e-01 9.848000e-05 1.669211e-06 1.650766e-06 8.789644e-11 1.626146e+14 1.609066e+14 8.676940e+09 4.952636e+13 4.900626e+13 2.642656e+09 
300 303975 1.100000e+00 2.225469e+03 2.341390e-01 1.048400e-04 2.081841e-06 2.062627e-06 1.173775e-10 1.917894e+14 1.901061e+14 1.096179e+10 5.841396e+13 5.790139e+13 3.338650e+09 
300 303975 1.150000e+00 2.183673e+03 2.162169e-01 1.334300e-04 2.243365e-06 2.052504e-06 1.467890e-10 1.966722e+14 1.792809e+14 1.300046e+10 5.990321e+13 5.460633e+13 3.959710e+09 
300 303975 1.200000e+00 2.141097e+03 1.875685e-01 1.683700e-04 1.953210e-06 1.632742e-06 1.568870e-10 1.642159e+14 1.504803e+14 1.318520e+10 5.001913e+13 4.583552e+13 4.016111e+09 
300 303975 1.250000e+00 2.100929e+03 1.547238e-01 2.096800e-04 1.265095e-06 1.093311e-06 1.355043e-10 1.028895e+14 8.994801e+13 1.113845e+10 3.134041e+13 2.739854e+13 3.392791e+09 
300 303975 1.300000e+00 2.060958e+03 1.244283e-01 3.298500e-04 5.527804e-07 3.828301e-07 8.701461e-11 4.438573e+13 3.055104e+13 7.009902e+09 1.352036e+13 9.306241e+12 2.135287e+09 
300 303975 1.350000e+00 2.021272e+03 1.035501e-01 4.563800e-04 2.121659e-07 1.189962e-07 4.259007e-11 1.723752e+13 9.441302e+12 3.453550e+09 5.250819e+12 2.875999e+12 1.052005e+09 
300 303975 1.400000e+00 1.982220e+03 9.027142e-02 5.343800e-04 9.663814e-08 5.057536e-08 2.233184e-11 8.000677e+12 4.050699e+12 1.838386e+09 2.437162e+12 1.233936e+12 5.600081e+08 
300 303975 1.450000e+00 1.944177e+03 8.068252e-02 6.609100e-04 4.941435e-08 1.994884e-08 1.302797e-11 4.151080e+12 1.603132e+12 1.087492e+09 1.264514e+12 4.883571e+11 3.312749e+08 
300 303975 1.500000e+00 1.909241e+03 7.354922e-02 8.359700e-04 2.816030e-08 7.922084e-09 8.410744e-12 2.397617e+12 7.605812e+11 7.053530e+08 7.303745e+11 2.316961e+11 2.148687e+08 
300 303975 1.550000e+00 1.875284e+03 6.662410e-02 9.625000e-04 1.667769e-08 4.155891e-09 5.559526e-12 1.445084e+12 4.590259e+11 4.699880e+08 4.402113e+11 1.398341e+11 1.431713e+08 
300 303975 1.600000e+00 1.843157e+03 6.111294e-02 1.040490e-03 1.024327e-08 2.689417e-09 3.744204e-12 9.011830e+11 2.248691e+11 3.261178e+08 2.745270e+11 6.850301e+10 9.934525e+07 
300 303975 1.650000e+00 1.813028e+03 5.591943e-02 1.215550e-03 6.482695e-09 1.453911e-09 2.625072e-12 5.802648e+11 1.538784e+11 2.291595e+08 1.767665e+11 4.687701e+10 6.980921e+07 
300 303975 1.700000e+00 1.786588e+03 5.169066e-02 1.287200e-03 4.301225e-09 1.022529e-09 1.886072e-12 3.911919e+11 1.081944e+11 1.671385e+08 1.191695e+11 3.296017e+10 5.091589e+07 
