# CH signal
# Experiment results:
# 1 atm, 300 K
# Methane-air, Bunsen flame
# φ S_CH (arbitrary units)
7.7000000e-01   6.2504857e+02
8.0000000e-01   6.5067592e+02
8.5000000e-01   6.6749649e+02

9.0000000e-01   8.1111824e+02
9.5000000e-01   8.8650510e+02
1.0000000e+00   1.0103734e+03
1.0500000e+00   1.1761756e+03
1.1000000e+00   1.3987727e+03
1.1500000e+00   1.6327344e+03
1.2000000e+00   1.6392683e+03
1.2500000e+00   1.5645417e+03
1.3000000e+00   1.3767797e+03
1.3500000e+00   1.1073213e+03
1.4000000e+00   9.9682200e+02
1.4500000e+00   8.8900211e+02
