T(K) p(Pa) phi Tf(K) SL(m/s) Xf(m) maxXCH mpXCH intXCH maxSM mpSM intSM maxCM mpCM intCM
300 101325 5.000000e-01 1.521060e+03 6.884741e-02 3.942100e-04 1.498249e-09 1.450405e-09 3.103448e-13 3.887358e+11 3.786315e+11 8.128289e+07 1.178453e+11 1.147828e+11 2.464042e+07 
300 101325 5.500000e-01 1.621537e+03 1.087395e-01 3.295900e-04 6.340282e-09 6.136579e-09 1.085086e-12 1.490995e+12 1.422840e+12 2.568649e+08 4.521357e+11 4.314720e+11 7.789097e+07 
300 101325 6.000000e-01 1.713975e+03 1.496258e-01 2.916700e-04 1.839874e-08 1.724756e-08 2.779096e-12 3.949206e+12 3.734881e+12 6.058011e+08 1.197881e+12 1.132883e+12 1.837474e+08 
300 101325 6.500000e-01 1.808857e+03 1.945578e-01 2.812500e-04 4.611091e-08 4.317309e-08 6.387268e-12 9.117417e+12 8.280077e+12 1.269206e+09 2.766161e+12 2.512169e+12 3.850583e+08 
300 101325 7.000000e-01 1.898391e+03 2.373175e-01 2.604100e-04 9.941127e-08 9.026851e-08 1.278298e-11 1.800157e+13 1.758988e+13 2.324050e+09 5.462706e+12 5.337836e+12 7.052274e+08 
300 101325 7.500000e-01 1.983075e+03 2.769916e-01 2.343800e-04 1.915283e-07 1.829515e-07 2.325691e-11 3.200537e+13 3.080731e+13 3.956591e+09 9.714034e+12 9.350539e+12 1.200836e+09 
300 101325 8.000000e-01 2.058874e+03 3.109626e-01 2.239600e-04 3.341986e-07 3.231197e-07 3.919912e-11 5.180295e+13 4.986504e+13 6.190859e+09 1.572525e+13 1.513726e+13 1.879234e+09 
300 101325 8.500000e-01 2.132318e+03 3.434835e-01 2.083300e-04 5.650733e-07 5.589031e-07 6.414026e-11 8.132740e+13 8.070360e+13 9.442651e+09 2.469156e+13 2.450234e+13 2.866752e+09 
300 101325 9.000000e-01 2.194488e+03 3.690287e-01 2.135400e-04 8.961361e-07 8.788470e-07 1.012393e-10 1.201433e+14 1.173771e+14 1.386278e+10 3.648121e+13 3.564169e+13 4.209253e+09 
300 101325 9.500000e-01 2.244375e+03 3.881284e-01 2.135400e-04 1.357951e-06 1.329587e-06 1.535664e-10 1.701221e+14 1.658744e+14 1.966045e+10 5.166369e+13 5.037429e+13 5.970396e+09 
300 101325 1.000000e+00 2.276248e+03 4.000829e-01 2.135400e-04 1.959191e-06 1.939773e-06 2.236979e-10 2.300470e+14 2.273788e+14 2.689518e+10 6.987024e+13 6.906025e+13 8.168346e+09 
300 101325 1.050000e+00 2.283732e+03 4.058424e-01 2.083300e-04 2.739382e-06 2.739357e-06 3.172654e-10 3.023837e+14 3.014128e+14 3.586691e+10 9.185055e+13 9.155589e+13 1.089439e+10 
300 101325 1.100000e+00 2.266434e+03 4.019586e-01 2.395900e-04 3.614549e-06 3.446252e-06 4.473446e-10 3.763881e+14 3.620038e+14 4.772385e+10 1.143413e+14 1.099731e+14 1.449740e+10 
300 101325 1.150000e+00 2.235192e+03 3.892230e-01 2.291700e-04 4.490498e-06 4.476735e-06 5.786037e-10 4.438756e+14 4.433986e+14 5.867989e+10 1.348558e+14 1.347116e+14 1.782732e+10 
300 101325 1.200000e+00 2.196980e+03 3.657018e-01 2.604100e-04 5.180459e-06 5.121933e-06 7.391020e-10 4.879568e+14 4.817220e+14 7.116202e+10 1.482620e+14 1.463690e+14 2.162156e+10 
300 101325 1.250000e+00 2.152712e+03 3.285714e-01 3.229200e-04 5.354104e-06 4.957807e-06 8.957147e-10 4.831636e+14 4.516498e+14 8.256365e+10 1.468202e+14 1.372452e+14 2.508820e+10 
300 101325 1.300000e+00 2.110938e+03 2.827245e-01 4.285500e-04 4.851943e-06 3.873449e-06 1.001403e-09 4.241684e+14 3.910050e+14 8.714770e+10 1.289048e+14 1.188279e+14 2.648371e+10 
300 101325 1.350000e+00 2.068259e+03 2.301936e-01 5.423200e-04 3.555323e-06 2.856640e-06 9.571479e-10 3.022384e+14 2.379513e+14 8.203862e+10 9.185841e+13 7.232093e+13 2.493339e+10 
300 101325 1.400000e+00 2.028242e+03 1.803126e-01 8.821600e-04 1.977713e-06 1.066279e-06 7.673921e-10 1.661029e+14 8.734230e+13 6.446607e+10 5.048677e+13 2.654814e+13 1.959422e+10 
300 101325 1.450000e+00 1.993319e+03 1.443986e-01 1.023440e-03 9.678045e-07 5.559783e-07 4.636362e-10 8.237799e+13 4.557186e+13 3.919620e+10 2.503957e+13 1.385237e+13 1.191401e+10 
300 101325 1.500000e+00 1.961542e+03 1.224102e-01 1.175130e-03 5.232421e-07 2.779137e-07 2.778526e-10 4.521672e+13 2.300036e+13 2.382245e+10 1.374438e+13 6.991563e+12 7.241218e+09 
300 101325 1.550000e+00 1.923060e+03 1.047357e-01 1.326830e-03 2.561407e-07 1.307359e-07 1.494349e-10 2.244488e+13 1.091121e+13 1.299018e+10 6.822793e+12 3.316911e+12 3.948756e+09 
300 101325 1.600000e+00 1.889918e+03 9.225917e-02 1.468100e-03 1.442551e-07 6.768964e-08 9.119806e-11 1.289315e+13 5.821930e+12 8.060978e+09 3.919361e+12 1.769867e+12 2.450445e+09 
