X(mm)  p(Pa)  T(K)  X_H2_  X_H_  X_O2_  X_OH_  X_H2O_  X_CH_  X_CH4_  X_CO_  X_CO2_  X_CH2O_  X_C2H6_  X_N2_  X_C3H8_
0.000000e+00  1.013250e+05  3.000000e+02  1.758638e-09  -7.249519e-27  1.900452e-01  5.076364e-22  6.603731e-13  -1.024058e-50  9.502262e-02  5.894442e-14  1.629980e-15  2.984763e-16  8.121531e-17  7.149321e-01  5.667212e-20
2.475000e+01  1.013250e+05  3.000000e+02  2.136049e-07  -5.663937e-25  1.900452e-01  1.519068e-19  2.809953e-10  -3.509827e-48  9.502260e-02  2.716473e-11  9.886207e-13  1.834709e-13  5.259294e-14  7.149320e-01  4.746318e-17
3.663000e+01  1.013250e+05  3.000004e+02  9.379623e-06  1.153097e-22  1.900435e-01  4.156611e-17  4.268581e-08  8.790707e-46  9.502167e-02  4.467602e-09  2.137444e-10  4.019946e-11  1.226685e-11  7.149254e-01  1.415581e-14
4.851000e+01  1.013250e+05  3.000734e+02  5.483235e-04  8.596945e-18  1.899393e-01  4.307947e-13  8.721363e-06  1.941082e-36  9.496309e-02  9.885665e-07  6.222916e-08  1.185846e-08  3.812324e-09  7.145395e-01  5.689320e-12
4.900500e+01  1.013250e+05  3.003968e+02  1.246310e-03  6.692304e-16  1.897946e-01  1.784028e-11  4.740967e-05  2.247081e-32  9.487231e-02  5.738283e-06  4.554728e-07  8.624162e-08  2.947505e-08  7.140329e-01  5.530662e-11
4.925250e+01  1.013250e+05  3.015868e+02  2.223276e-03  2.050749e-14  1.895579e-01  2.926481e-10  1.893953e-04  3.391863e-29  9.469948e-02  2.443735e-05  2.431003e-06  4.623000e-07  1.662163e-07  7.133018e-01  3.901406e-10
4.937625e+01  1.013250e+05  3.040555e+02  3.147578e-03  2.098383e-13  1.892661e-01  1.785534e-09  4.837478e-04  4.516367e-27  9.445538e-02  6.573866e-05  7.860043e-06  1.496780e-06  5.626733e-07  7.125697e-01  1.597489e-09
4.950000e+01  1.013250e+05  3.115938e+02  4.606721e-03  2.583531e-12  1.886072e-01  1.016677e-08  1.381675e-03  7.502005e-25  9.385744e-02  1.995375e-04  2.927123e-05  5.560792e-06  2.204932e-06  7.113043e-01  7.718177e-09
4.958333e+01  1.013250e+05  3.250356e+02  6.039652e-03  1.985633e-11  1.876065e-01  3.503527e-08  2.978076e-03  4.104272e-23  9.292457e-02  4.528470e-04  7.796143e-05  1.464190e-05  6.116867e-06  7.098846e-01  2.540376e-08
4.962500e+01  1.013250e+05  3.380998e+02  6.938137e-03  7.254497e-11  1.866888e-01  7.160892e-08  4.519918e-03  5.062271e-22  9.207907e-02  7.118732e-04  1.356565e-04  2.512880e-05  1.093459e-05  7.088656e-01  5.106869e-08
4.964583e+01  1.013250e+05  3.475621e+02  7.438903e-03  1.563057e-10  1.860330e-01  1.059623e-07  5.628822e-03  2.195224e-21  9.148700e-02  9.061351e-04  1.834147e-04  3.362892e-05  1.503155e-05  7.082411e-01  7.563237e-08
4.966667e+01  1.013250e+05  3.597122e+02  7.973911e-03  3.605905e-10  1.851924e-01  1.586434e-07  7.042657e-03  1.065833e-20  9.074223e-02  1.162342e-03  2.511588e-04  4.548090e-05  2.096315e-05  7.075248e-01  1.145957e-07
