T(K) p(Pa) phi Tf(K) SL(m/s) Xf(m) maxXCH mpXCH intXCH maxSM mpSM intSM maxCM mpCM intCM
300 101325 5.000000e-01 1.717279e+03 1.541307e-01 4.895900e-04 1.073263e-10 1.041935e-10 2.728611e-14 3.731090e+10 3.562036e+10 9.470484e+06 1.130375e+10 1.079075e+10 2.869126e+06 
300 101325 5.500000e-01 1.820392e+03 1.963071e-01 4.687500e-04 2.456224e-10 2.225571e-10 5.617821e-14 7.878788e+10 7.663121e+10 1.776442e+07 2.388061e+10 2.322529e+10 5.384215e+06 
300 101325 6.000000e-01 1.914007e+03 2.340864e-01 4.062500e-04 4.922216e-10 4.744634e-10 1.016224e-13 1.467103e+11 1.382253e+11 3.021856e+07 4.448366e+10 4.190699e+10 9.162207e+06 
300 101325 6.500000e-01 2.003687e+03 2.767586e-01 3.750000e-04 9.081595e-10 8.759180e-10 1.726416e-13 2.514846e+11 2.398228e+11 4.796990e+07 7.627897e+10 7.273376e+10 1.454916e+07 
300 101325 7.000000e-01 2.086939e+03 3.182877e-01 3.385400e-04 1.548701e-09 1.511684e-09 2.736855e-13 4.027182e+11 3.926854e+11 7.148768e+07 1.221810e+11 1.191310e+11 2.168825e+07 
300 101325 7.500000e-01 2.155687e+03 3.592436e-01 3.489500e-04 2.463763e-09 2.309849e-09 4.168107e-13 6.038395e+11 6.012861e+11 1.003084e+08 1.832453e+11 1.824665e+11 3.043959e+07 
300 101325 8.000000e-01 2.214403e+03 3.980404e-01 3.072900e-04 3.715607e-09 3.632087e-09 5.931753e-13 8.623391e+11 8.427272e+11 1.384577e+08 2.617467e+11 2.557802e+11 4.202497e+07 
300 101325 8.500000e-01 2.264784e+03 4.339025e-01 3.125000e-04 5.353084e-09 5.137585e-09 8.278898e-13 1.181754e+12 1.119203e+12 1.834167e+08 3.587622e+11 3.397471e+11 5.568103e+07 
300 101325 9.000000e-01 2.301268e+03 4.693990e-01 3.072900e-04 7.519538e-09 6.907287e-09 1.124653e-12 1.583339e+12 1.579021e+12 2.326256e+08 4.807576e+11 4.794414e+11 7.063203e+07 
300 101325 9.500000e-01 2.329494e+03 5.017459e-01 2.656200e-04 1.023525e-08 1.017492e-08 1.457678e-12 2.062156e+12 2.041799e+12 2.957063e+08 6.262414e+11 6.200331e+11 8.979789e+07 
300 101325 1.000000e+00 2.354120e+03 5.336102e-01 2.656200e-04 1.363821e-08 1.353676e-08 1.898229e-12 2.635851e+12 2.604926e+12 3.694051e+08 8.005663e+11 7.911403e+11 1.121929e+08 
300 101325 1.050000e+00 2.369516e+03 5.629567e-01 2.812500e-04 1.750672e-08 1.653432e-08 2.421925e-12 3.256448e+12 3.031748e+12 4.528412e+08 9.891725e+11 9.208324e+11 1.375485e+08 
300 101325 1.100000e+00 2.378993e+03 5.915595e-01 2.760400e-04 2.284508e-08 2.146018e-08 3.084051e-12 4.092256e+12 4.011470e+12 5.493954e+08 1.243178e+12 1.218586e+12 1.668956e+08 
