T(K) p(Pa) phi Tf(K) SL(m/s) Xf(m) maxXCH mpXCH intXCH maxSM mpSM intSM maxCM mpCM intCM
300 101325 5.000000e-01 1.724804e+03 1.386379e-01 5.312500e-04 6.578804e-11 5.999030e-11 1.744254e-14 2.363289e+10 2.146804e+10 6.259038e+06 7.158996e+09 6.502144e+09 1.895901e+06 
300 101325 5.500000e-01 1.827677e+03 1.756608e-01 4.791700e-04 1.532460e-10 1.407724e-10 3.607242e-14 5.066376e+10 4.956177e+10 1.176605e+07 1.535403e+10 1.501923e+10 3.565704e+06 
300 101325 6.000000e-01 1.924348e+03 2.125176e-01 4.166700e-04 3.093949e-10 2.990684e-10 6.577985e-14 9.474870e+10 8.984942e+10 2.011874e+07 2.872633e+10 2.723766e+10 6.099358e+06 
300 101325 6.500000e-01 2.009798e+03 2.463435e-01 3.854200e-04 5.598218e-10 5.384217e-10 1.101190e-13 1.605593e+11 1.508936e+11 3.149447e+07 4.869391e+10 4.575771e+10 9.551206e+06 
300 101325 7.000000e-01 2.091970e+03 2.831337e-01 3.541600e-04 9.402717e-10 9.219148e-10 1.728235e-13 2.531247e+11 2.452820e+11 4.648317e+07 7.678969e+10 7.440478e+10 1.410096e+07 
300 101325 7.500000e-01 2.160050e+03 3.176498e-01 3.593700e-04 1.495663e-09 1.385479e-09 2.618672e-13 3.782163e+11 3.768593e+11 6.526900e+07 1.147647e+11 1.143516e+11 1.980480e+07 
300 101325 8.000000e-01 2.220469e+03 3.514134e-01 3.229200e-04 2.249107e-09 2.195467e-09 3.727718e-13 5.383761e+11 5.214035e+11 8.964525e+07 1.633986e+11 1.582385e+11 2.720714e+07 
300 101325 8.500000e-01 2.268132e+03 3.834058e-01 3.229200e-04 3.243662e-09 3.058968e-09 5.194951e-13 7.398874e+11 6.984392e+11 1.190023e+08 2.246033e+11 2.120020e+11 3.612372e+07 
300 101325 9.000000e-01 2.299836e+03 4.121890e-01 2.812500e-04 4.526213e-09 4.507351e-09 6.866050e-13 9.855744e+11 9.819069e+11 1.506115e+08 2.992357e+11 2.981155e+11 4.572691e+07 
300 101325 9.500000e-01 2.331278e+03 4.401098e-01 2.812500e-04 6.140815e-09 6.092789e-09 9.100809e-13 1.280411e+12 1.261780e+12 1.906973e+08 3.888068e+11 3.831365e+11 5.790575e+07 
300 101325 1.000000e+00 2.353445e+03 4.669252e-01 2.760400e-04 8.152618e-09 8.004375e-09 1.179052e-12 1.630347e+12 1.603646e+12 2.375612e+08 4.951442e+11 4.870077e+11 7.214576e+07 
300 101325 1.050000e+00 2.369134e+03 4.930636e-01 2.760400e-04 1.060618e-08 1.043581e-08 1.504235e-12 2.041366e+12 1.995552e+12 2.909617e+08 6.200368e+11 6.060949e+11 8.837391e+07 
300 101325 1.100000e+00 2.382239e+03 5.159268e-01 2.708300e-04 1.354096e-08 1.329458e-08 1.879955e-12 2.512323e+12 2.445774e+12 3.507425e+08 7.631737e+11 7.429176e+11 1.065428e+08 
